City,Latitude,Longitude,Population
Tirana,41.3300,19.8200,418495
Durres,41.3167,19.4500,142432
Vlore,40.4500,19.4833,130827
Kamez,41.3833,19.7667,126777
Fier,40.7167,19.5500,120655
Shkoder,42.0667,19.5000,112276
Elbasan,41.1125,20.0822,78703
Korce,40.6167,20.7667,51152
Berat,40.7049,19.9497,36496
Gjirokaster,40.0758,20.1389,25301
Lezhe,41.7805,19.6434,15510
Kukes,42.0758,20.4231,16719
Peshkopi,41.6831,20.4289,13251
Sarande,39.8833,20.0167,41000
Lushnje,40.9333,19.7000,31105
Kavaje,41.1833,19.5500,29354
Pogradec,40.9000,20.6500,20848
Fushe-Kruje,41.4833,19.7167,18477
Lac,41.6353,19.7131,17086
Sukth,41.3833,19.5333,15966
Patos,40.6841,19.6194,15397
Kucove,40.8039,19.9144,12654
Kruje,41.5178,19.7978,11721
Burrel,41.6000,20.0000,10862
Vore,41.3939,19.6544,10901
Gramsh,40.8667,20.1833,8440
Shijak,41.3456,19.5672,7568
Belsh,40.9833,19.8833,8781
Rreshen,41.7667,19.8833,8803
Ballsh,40.5991,19.7359,7657
Mamurras,41.5775,19.6922,8282
Divjake,40.9964,19.5327,8445
Bulqize,41.5000,20.2167,8177
Shengjin,41.8136,19.5939,8091
Vau i Dejes,42.0000,19.6333,8117
Rrogozhine,41.0761,19.6667,7049
Peqin,41.0500,19.7500,6353
Bilisht,40.6275,20.9900,7114
Librazhd,41.1833,20.3167,6937
Cerrik,41.0333,19.9833,6695
Roskovec,40.7375,19.7022,6657
Permet,40.2333,20.3500,5945
Perrenjas,41.0667,20.5500,5847
Krume,42.1961,20.4146,6006
Delvine,39.9494,20.0958,5754
Bajram Curri,42.3582,20.0760,5340
Tepelene,40.3000,20.0167,4342
Erseke,40.3333,20.6833,3746
Corovode,40.5042,20.2272,4051
Puke,42.0500,19.9000,3607
