City,Latitude,Longitude,Population
Algiers,36.7764,3.0586,3415811
Oran,35.6969,-0.6331,852000
Constantine,36.3650,6.6147,448374
Blida,36.4722,2.8333,331779
Batna,35.5500,6.1667,290645
Setif,36.1900,5.4100,288461
Djelfa,34.6667,3.2500,265833
Annaba,36.9000,7.7667,257359
Sidi Bel Abbes,35.2000,-0.6333,212935
Biskra,34.8500,5.7333,204661
Tebessa,35.4000,8.1167,194461
Tiaret,35.3667,1.3167,178915
El Oued,33.3704,6.8600,177497
Bejaia,36.7500,5.0667,176139
Tlemcen,34.8828,-1.3167,173531
Bordj Bou Arreridj,36.0667,4.7667,168346
Skikda,36.8667,6.9000,163318
Chlef,36.1647,1.3317,155134
M'Sila,35.7000,4.5450,150000
Jijel,36.8220,5.7660,148000
Mostaganem,35.9333,0.0903,145696
Tizi Ouzou,36.8000,4.0333,144000
Saida,34.8404,0.1400,142213
Touggourt,33.1000,6.0667,143270
Bechar,31.6111,-2.2300,143382
Medea,36.2675,2.7500,138355
Souk Ahras,36.2904,7.9500,134947
Ouargla,31.9500,5.3167,133024
Guelma,36.4660,7.4280,123590
Ghardaia,32.4900,3.6700,125480
Laghouat,33.8100,2.8800,113872
Khenchela,35.4167,7.1333,108580
Mascara,35.4000,0.1333,108587
Oum el Bouaghi,35.8706,7.1150,100821
Tamanrasset,22.7850,5.5228,76000
Tissemsilt,35.6072,1.8106,75197
Bouira,36.3783,3.8925,68545
El Bayadh,33.6904,1.0100,67413
Adrar,27.8742,-0.2939,56910
Boumerdes,36.7594,3.4728,41685
El Tarf,36.7669,8.3136,25594
Tipasa,36.5942,2.4430,25225
Tindouf,27.6742,-8.1478,18270
Illizi,26.4834,8.4666,7957
Relizane,35.7373,0.5560,
Ain Temouchent,35.2975,-1.1404,
Ain Defla,36.2641,1.9679,
Mila,36.4503,6.2644,
Naama,33.2667,-0.3167,
Ain Sefra,32.7604,-0.5799,63420
Timimoun,29.2365,0.2700,49237
I-n-Salah,27.2166,2.4666,49223
Reggane,26.7000,0.1666,32974
El Golea,30.5666,2.8833,32049
Hassi Messaoud,31.7023,6.0545,18124
Bordj Mokhtar,21.3289,0.9542,16437
Djanet,24.5550,9.4853,14655
Abadla,31.0171,-2.7333,14364
In Guezzam,19.5686,5.7722,7045
Beni Ounif,32.0493,-1.2514,5628
I-n-Amguel,23.6939,5.1647,3030
I-n-Amenas,28.0503,9.5500,216
