City,Latitude,Longitude,Population
Luanda,-8.8383,13.2344,8417000
Huambo,-12.7667,15.7333,665564
Cabinda,-5.5500,12.2000,550000
Benguela,-12.5500,13.4167,513000
Lobito,-12.3700,13.5412,207932
Mocamedes,-15.1953,12.1508,162000
Porto Amboim,-10.7183,13.7500,137000
Malanje,-9.5400,16.3400,125856
Cuito,-12.3800,16.9400,114286
Uige,-7.6200,15.0500,60008
Mbanza Kongo,-6.2667,14.2500,60182
Saurimo,-9.6596,20.3900,41316
Caxito,-8.6467,13.6642,28224
Sumbe,-11.2052,13.8417,26000
Luena,-11.7900,19.9000,21115
Menongue,-14.6666,17.7000,13030
Dundo,-7.3800,20.8300,11985
Ondjiva,-17.0667,15.7333,10169
Ndalatando,-9.3000,14.9167,8144
Lubango,-14.9167,13.5000,
Tombua,-15.8000,11.8500,90000
Capenda Camulemba,-9.4196,18.4300,80000
Soio,-6.1296,12.3700,67491
Lucapa,-8.4196,20.7400,31041
Mavinga,-15.7895,20.3600,30000
Nzeto,-7.2296,12.8600,21059
Camacupa,-12.0196,17.4700,19828
Luau,-10.7095,22.2300,18465
Ambriz,-7.8550,13.1250,17000
Camabatela,-8.1896,15.3700,12837
Uacu Cungo,-11.3583,15.1194,12069
Songo,-7.3496,14.8500,10579
Dondo,-9.6942,14.4228,2353
Xangongo,-16.7467,14.9747,447
Quibala,-10.7296,14.9800,8915
Cubal,-13.0396,14.2400,4837
Muconda,-10.5996,21.3200,2324
Chibemba,-15.7496,14.0800,1502
Chibia,-15.1896,13.6900,1411
Cangamba,-13.6996,19.8600,1307
Cacolo,-10.1496,19.2600,984
Calulo,-9.9996,14.9000,795
Calenga,-11.3196,16.2000,531
Chitado,-17.3196,13.9200,500
Cazombo,-11.8896,22.9000,298
Quipungo,-14.8295,14.5500,186
Luiana,-17.3695,23.0000,150
Cuito Cuanavale,-15.1596,19.1700,149
Mucusso,-18.0195,21.4300,100
