City,Latitude,Longitude,Population
Buenos Aires,-34.5997,-58.3819,16157000
Cordoba,-31.4167,-64.1833,1329604
Rosario,-32.9575,-60.6394,1193605
San Miguel de Tucuman,-26.8167,-65.2167,605767
Mar del Plata,-38.0000,-57.5500,593337
Salta,-24.7883,-65.4106,535303
San Juan,-31.5375,-68.5364,471389
Lanus,-34.7000,-58.4000,459263
Santa Fe,-31.6333,-60.7000,405683
Corrientes,-27.4833,-58.8167,352646
San Salvador de Jujuy,-24.1856,-65.2994,321789
Bahia Blanca,-38.7167,-62.2667,299101
Resistencia,-27.4514,-58.9867,291720
Posadas,-27.3667,-55.8969,275988
Santiago del Estero,-27.7844,-64.2669,252192
Parana,-31.7444,-60.5175,247863
Merlo,-34.6653,-58.7275,244168
Gonzalez Catan,-34.7708,-58.6464,238067
Quilmes,-34.7167,-58.2667,230810
Neuquen,-38.9573,-68.0455,231198
Jose C. Paz,-34.5167,-58.7667,216637
Formosa,-26.1847,-58.1758,222226
Isidro Casanova,-34.7000,-58.5833,190696
Godoy Cruz,-32.9167,-68.8333,191299
La Plata,-34.9333,-57.9500,186527
Berazategui,-34.7679,-58.2133,180523
La Rioja,-29.4131,-66.8558,180995
Comodoro Rivadavia,-45.8667,-67.5000,173266
San Luis,-33.2994,-66.3392,169947
Jose Maria Ezeiza,-34.8333,-58.5167,160219
San Nicolas de los Arroyos,-33.3333,-60.2167,160000
Catamarca,-28.4686,-65.7792,159139
Rafael Castillo,-34.7167,-58.6167,147965
Florencio Varela,-34.8167,-58.3833,146704
Concordia,-31.3922,-58.0169,149450
San Justo,-34.6833,-58.5500,136604
Temperley,-34.7667,-58.3833,121451
Ramos Mejia,-34.6500,-58.5667,120346
San Martin,-33.0806,-68.4706,117399
Mendoza,-32.8833,-68.8333,114822
Tandil,-37.3167,-59.1333,116917
Puerto Madryn,-42.7730,-65.0366,115353
Bernal,-34.7000,-58.2833,109914
Castelar,-34.6500,-58.6500,107786
San Carlos de Bariloche,-41.1500,-71.3000,112887
Esteban Echeverria,-34.8167,-58.4667,109644
Tablada,-34.6833,-58.5333,102542
Villa Mercedes,-33.6667,-65.4667,111391
Gualeguaychu,-33.0078,-58.5111,109461
San Rafael,-34.6175,-68.3356,107997
Moron,-34.6500,-58.6167,99066
La Banda,-27.7333,-64.2500,106441
Villa Luzuriaga,-34.6667,-58.5833,94403
Caseros,-34.6167,-58.5333,95785
Santa Rosa,-36.6203,-64.2906,103860
Libertad,-34.6833,-58.6833,100324
Burzaco,-34.8167,-58.3667,98859
Berisso,-34.8667,-57.8667,101123
Ciudad General Belgrano,-34.7261,-58.5289,92957
San Francisco Solano,-34.7667,-58.3167,91322
Rio Gallegos,-51.6333,-69.2333,95796
Monte Chingolo,-34.7333,-58.3500,85060
Remedios de Escalada,-34.7167,-58.4000,81465
Ezpeleta,-34.7517,-58.2344,79557
Lomas del Mirador,-34.6667,-58.5297,71479
Bella Vista,-34.5333,-58.6667,72000
Wilde,-34.7000,-58.3167,65881
Villa Dominico,-34.6917,-58.3333,62315
Los Polvorines,-34.5000,-58.7000,60867
Rafael Calzada,-34.7833,-58.3667,57351
Viedma,-40.8000,-63.0000,59122
Ushuaia,-54.8072,-68.3044,56956
Florida,-34.5167,-58.5000,48158
Longchamps,-34.8596,-58.3870,47622
La Reja,-34.6394,-58.8283,47839
Villa Alsina,-34.6667,-58.4167,41155
San Isidro,-34.4667,-58.5167,43595
Jose Marmol,-34.7833,-58.3667,41109
Haedo,-34.6500,-58.6000,37745
