City,Latitude,Longitude,Population
Sydney,-33.8650,151.2094,5312163
Melbourne,-37.8136,144.9631,5078193
Brisbane,-27.4678,153.0281,2514184
Perth,-31.9522,115.8589,2059484
Adelaide,-34.9289,138.6011,1345777
Canberra,-35.2931,149.1269,426704
Gold Coast,-28.0167,153.4000,679127
Newcastle,-32.9167,151.7500,322278
Wollongong,-34.4331,150.8831,302739
Geelong,-38.1500,144.3500,263280
Hobart,-42.8806,147.3250,240342
Townsville,-19.2564,146.8183,180820
Ipswich,-27.6167,152.7667,163000
Cairns,-16.9303,145.7703,152729
Darwin,-12.4381,130.8411,136828
Toowoomba,-27.5667,151.9500,136861
Ballarat,-37.5500,143.8500,105471
Caloundra,-26.7986,153.1289,41293
Campbelltown,-34.0733,150.8261,12566
Leopold,-38.1892,144.4644,12814
Concord,-33.8444,151.0903,5914
Corinda,-27.4833,153.1000,11019
Wentworthville,-33.8233,150.9678,6197
Bendigo,-36.7500,144.2667,99122
Launceston,-41.4419,147.1450,87328
Mackay,-21.1411,149.1861,80148
Rockhampton,-23.3750,150.5117,78592
Maitland,-32.7167,151.5500,78015
Bunbury,-33.3333,115.6333,74363
Coffs Harbour,-30.3022,153.1189,71822
Bundaberg,-24.8500,152.3500,70921
Wagga Wagga,-35.1189,147.3689,56442
Hervey Bay,-25.2853,152.8728,54674
Shepparton,-36.3833,145.4000,51631
Albury,-36.0806,146.9158,47974
Port Macquarie,-31.4333,152.9000,47973
Pakenham,-38.0712,145.4878,46421
Tamworth,-31.0833,150.9167,42872
Orange,-33.2833,149.1000,40493
Dubbo,-32.2569,148.6011,38392
Bathurst,-33.4200,149.5778,36801
Geraldton,-28.7744,114.6089,37648
Sunbury,-37.5811,144.7139,36084
Nowra,-34.8833,150.6000,37420
Frankston,-38.1580,145.1350,36097
Warrnambool,-38.3833,142.4833,35214
Queanbeyan,-35.3533,149.2342,36348
Wodonga,-36.1214,146.8881,35130
Albany,-35.0228,117.8814,34205
Gladstone,-23.8489,151.2625,33418
Mildura,-34.1889,142.1583,32738
Southport,-27.9667,153.4000,31908
Dandenong,-37.9810,145.2150,29906
Mount Gambier,-37.8294,140.7828,29639
Kalgoorlie,-30.7489,121.4658,29849
Lismore,-28.8167,153.2833,28720
Quakers Hill,-33.7344,150.8789,27080
Ballina,-28.8333,153.5333,26381
Taree,-31.9000,152.4500,26381
Gawler,-34.5981,138.7450,26472
Maryborough,-25.5375,152.7019,27282
Caboolture,-27.0667,152.9670,26433
Traralgon,-38.1958,146.5403,25485
Armidale,-30.5000,151.6500,24504
Busselton,-33.6478,115.3458,25329
Goulburn,-34.7547,149.6186,23835
