City,Latitude,Longitude,Population
Vienna,48.2083,16.3731,1840573
Graz,47.0667,15.4333,289440
Linz,48.3000,14.2833,204846
Salzburg,47.7972,13.0477,154076
Innsbruck,47.2683,11.3933,132493
Klagenfurt,46.6167,14.3000,101403
Sankt Polten,48.2000,15.6167,55514
Bregenz,47.5050,9.7492,28697
Modling,48.0856,16.2831,20555
Hall in Tirol,47.2833,11.5000,13897
Eisenstadt,47.8456,16.5189,14476
Weiz,47.2189,15.6253,11431
Wiener Neustadt,47.8160,16.2500,82762
Wels,48.1500,14.0167,61233
Villach,46.6167,13.8333,61879
Dornbirn,47.4167,9.7500,48067
Steyr,48.0500,14.4167,38331
Leonding,48.2792,14.2528,28698
Klosterneuburg,48.3042,16.3167,27058
Traun,48.2217,14.2397,24477
Wolfsberg,46.8419,14.8408,25035
Krems an der Donau,48.4167,15.6167,24610
Leoben,47.3817,15.0972,24645
Amstetten,48.1167,14.8667,23656
Lustenau,47.4271,9.6711,22821
Kapfenberg,47.4394,15.2894,22798
Hallein,47.6667,13.0833,21150
Kufstein,47.5833,12.1667,19223
Traiskirchen,48.0189,16.2922,18858
Schwechat,48.1411,16.4786,18026
Stockerau,48.3858,16.2108,16916
Braunau am Inn,48.2583,13.0333,17095
Hohenems,47.3667,9.6667,16317
Saalfelden am Steinernen Meer,47.4269,12.8483,16700
Ansfelden,48.2083,14.2889,16194
Muckendorf an der Donau,48.3333,16.0500,16197
Bruck an der Mur,47.4106,15.2686,15837
Spittal an der Drau,46.7917,13.4958,15413
Bludenz,47.1533,9.8219,14539
Ternitz,47.7167,16.0333,14632
Worgl,47.4831,12.0664,13811
Feldkirchen,46.7236,14.0919,14198
Korneuburg,48.3453,16.3331,12986
Bad Ischl,47.7115,13.6239,14133
Marchtrenk,48.1917,14.1106,13603
Schwaz,47.3500,11.7000,13728
Feldbach,46.9550,15.8883,13369
Knittelfeld,47.2150,14.8294,12626
Neunkirchen,47.7269,16.0817,12879
Gmunden,47.9181,13.7994,13191
Vocklabruck,48.0086,13.6558,12179
Sankt Veit an der Glan,46.7667,14.3603,12547
Leibnitz,46.7831,15.5450,12176
Lienz,46.8297,12.7697,11844
Ried im Innkreis,48.2100,13.4894,11903
Enns,48.2167,14.4750,11937
Bad Voslau,47.9669,16.2144,11844
Ganserndorf,48.3406,16.7175,11404
Hollabrunn,48.5667,16.0833,11681
Deutschlandsberg,46.8161,15.2150,11604
Mistelbach,48.5667,16.5667,11559
Gerasdorf bei Wien,48.2950,16.4675,11155
Waidhofen an der Ybbs,47.9596,14.7745,11333
Gross-Enzersdorf,48.2000,16.5500,11206
Trofaiach,47.4261,15.0067,11125
Ebreichsdorf,47.9611,16.4047,10942
Sankt Johann im Pongau,47.3500,13.2000,10944
Gleisdorf,47.1039,15.7083,10763
Volkermarkt,46.6622,14.6344,10946
Zwettl,48.6033,15.1689,10908
Bischofshofen,47.4172,13.2194,10540
Imst,47.2394,10.7381,10504
Koflach,47.0639,15.0889,9888
Laakirchen,47.9828,13.8242,9861
Judenburg,47.1725,14.6603,9960
Sankt Andra,46.7667,14.8167,9957
Purkersdorf,48.2092,16.1792,9701
Zell am See,47.3233,12.7981,9762
Voitsberg,47.0483,15.1503,9403
Attnang-Puchheim,48.0167,13.7167,8944
Sankt Valentin,48.1747,14.5333,9340
Deutsch-Wagram,48.2994,16.5644,8651
Murzzuschlag,47.6075,15.6731,8654
Furstenfeld,47.0500,16.0833,8549
Perg,48.2503,14.6336,8388
Freistadt,48.5117,14.5061,7909
Neulengbach,48.1833,15.9000,8281
Kitzbuhel,47.4464,12.3919,8272
Neusiedl am See,47.9486,16.8431,8235
Liezen,47.5667,14.2333,8191
Bruck an der Leitha,48.0255,16.7790,7887
Landeck,47.1333,10.5667,7725
Kindberg,47.5044,15.4489,8047
Zeltweg,47.1906,14.7511,7212
Herzogenburg,48.2833,15.6833,7771
Mattighofen,48.1067,13.1494,6524
Oberwart,47.2878,16.2031,7572
Gallneukirchen,48.3531,14.4158,6492
Langenlois,48.4667,15.6833,7609
Pressbaum,48.1833,16.0825,7559
Mattersburg,47.7381,16.3969,7349
Fehring,46.9364,16.0106,7284
Wolkersdorf im Weinviertel,48.3667,16.5167,7201
Ferlach,46.5269,14.3019,7141
Oberndorf bei Salzburg,47.9417,12.9417,5815
Hartberg,47.2806,15.9700,6650
Hainburg an der Donau,48.1478,16.9419,6570
Frohnleiten,47.2703,15.3244,6655
Wilhelmsburg,48.1108,15.6100,6557
Horn,48.6653,15.6558,6520
Schladming,47.3942,13.6892,6660
Neumarkt am Wallersee,47.9453,13.2247,6297
Traismauer,48.3333,15.7331,6224
Laa an der Thaya,48.7167,16.3833,6280
Gloggnitz,47.6758,15.9383,5916
Pinkafeld,47.3717,16.1219,5779
Radenthein,46.8000,13.7000,5831
Ybbs an der Donau,48.1667,15.0667,5653
Fischamend,48.1156,16.6128,5583
Melk,48.2269,15.3439,5529
Haag,48.1122,14.5656,5548
Spielberg bei Knittelfeld,47.2167,14.7833,5383
Waidhofen an der Thaya,48.8167,15.2833,5501
Gmund,48.7667,14.9833,5375
Poysdorf,48.6667,16.6333,5527
Schrems,48.7833,15.0667,5404
Pregarten,48.3556,14.5306,5293
Zistersdorf,48.5167,16.7500,5391
Grieskirchen,48.2350,13.8319,5002
Scharding,48.4569,13.4317,5253
Mittersill,47.2667,12.4667,5380
Bad Hall,48.0344,14.2097,5043
Rottenmann,47.5267,14.3558,5232
Hafendorf,47.4556,15.3194,7177
