City,Latitude,Longitude,Population
Baku,40.3667,49.8352,2181800
Sumqayit,40.5917,49.6397,341200
Ganca,40.6828,46.3606,331400
Mingacevir,40.7700,47.0489,98800
Xirdalan,40.4486,49.7564,95200
Naxcivan,39.2089,45.4122,74500
Saki,41.1919,47.1706,68360
Yevlax,40.6172,47.1500,59036
Lankaran,38.7536,48.8511,51300
Samkir,40.8564,46.0172,40600
Xacmaz,41.4681,48.8028,39900
Agcabadi,40.0489,47.4502,39200
Barda,40.3831,47.1186,38500
Goycay,40.6553,47.7389,36200
Zaqatala,41.6336,46.6433,31300
Imisli,39.8697,48.0600,31310
Salyan,39.5968,48.9837,30396
Agdas,40.6500,47.4833,29600
Qazax,41.0933,45.3661,28000
Calilabad,39.2042,48.4958,25846
Haci Zeynalabdin,40.6242,49.5575,22000
Bilasuvar,39.4481,48.5428,22800
Haciqabul,40.0375,48.9350,21504
Quba,41.3653,48.5264,20791
Ismayilli,40.7839,48.1439,20660
Agsu,40.5708,48.3928,20200
Agstafa,41.1167,45.4500,20200
Siyazan,41.0783,49.1061,18655
Sabirabad,40.0053,48.4719,18612
Saatli,39.9311,48.3697,17900
Astara,38.4400,48.8750,16800
Kurdamir,40.3383,48.1608,15385
Goygol,40.5905,46.3239,15338
Masalli,39.0183,48.6669,14746
Neftcala,39.3791,49.2486,14241
Qusar,41.4219,48.4214,14230
Tovuz,40.9864,45.6275,13700
Tartar,40.3353,46.9303,12563
Beylaqan,39.7692,47.6156,12263
Qax,41.4194,46.9181,11415
Daskasan,40.5181,46.0828,10700
Ordubad,38.9047,46.0231,10372
Zardab,40.2111,47.7108,8450
Balakan,41.7233,46.3919,8134
Qobustan,40.5333,48.9333,8100
Naftalan,40.5058,46.8192,7700
Oguz,41.0714,47.4653,7400
Goranboy,40.6100,46.7872,7333
Lerik,38.7753,48.4153,7301
Gadabay,40.5656,45.8161,5049
Agdam,39.9833,46.9167,3770
Xocali,39.9111,46.7892,1397
Heydarabad,39.7229,44.8485,
Ucar,40.5121,47.6519,
Qubadli,39.3439,46.5797,73
Sarur,39.5544,44.9826,
Lacin,39.6408,46.5469,
Yardimli,38.9206,48.2372,
Fuzuli,39.6003,47.1431,
Qabala,40.9825,47.8491,
Cabrayil,39.4000,47.0261,
Samux,40.7649,46.4087,
Davaci,41.2012,48.9871,
Qivraq,39.3994,45.1151,
Kalbacar,40.1098,46.0445,
Susa,39.7601,46.7499,
Xocavand,39.7950,47.1117,
Sahbuz,39.4072,45.5739,
Xizi,40.9111,49.0694,
Qaracuxur,40.3969,49.9733,85900
Sirvan,39.9319,48.9203,58253
Xankandi,39.8153,46.7519,49848
Qazyan,39.2015,46.4150,42288
Buzovna,40.5167,50.1167,31500
Amircan,40.4236,49.9886,29800
Samaxi,40.6339,48.6392,24681
Qazmalar,40.9814,47.8458,11867
Xudat,41.6339,48.6772,10894
Goytapa,39.1167,48.5953,10067
Liman,38.8733,48.8139,8661
Babak,39.1111,45.4114,5600
Agdam,40.9053,45.5564,0
