City,Latitude,Longitude,Population
Dhaka,23.7161,90.3961,15443000
Chattogram,22.3350,91.8325,2581643
Khulna,22.8167,89.5500,1311100
Sylhet,24.9000,91.8667,479837
Rajshahi,24.3667,88.6000,448087
Comilla,23.4704,91.1700,389411
Mymensingh,24.7504,90.3800,330126
Rangpur,25.7500,89.2500,294265
Brahmanbaria,23.9667,91.1000,268279
Jessore,23.1704,89.2000,243987
Narayanganj,23.6167,90.5000,223622
Saidpur,25.8004,89.0000,232209
Barishal,22.7000,90.3667,230000
Narsingdi,23.9000,90.7167,185128
Tangail,24.2500,89.9200,180144
Jamalpur,24.9004,89.9500,167900
Nawabganj,24.5804,88.3500,142361
Pabna,24.0004,89.2500,137888
