City,Latitude,Longitude,Population
Brussels,50.8467,4.3517,185103
Antwerp,51.2211,4.3997,529247
Gent,51.0536,3.7253,262219
Charleroi,50.4167,4.4442,201816
Liege,50.6250,5.5907,197885
Schaarbeek,50.8675,4.3736,133010
Anderlecht,50.8392,4.3297,120887
Bruges,51.2089,3.2242,118053
Namur,50.4667,4.8667,110939
Mechelen,51.0281,4.4803,86921
Vilvoorde,50.9281,4.4245,44015
Mortsel,51.1703,4.4567,26157
Mons,50.4550,3.9520,95299
Aalst,50.9333,4.0333,85715
La Louviere,50.4778,4.1881,80986
Sint-Niklaas,51.1644,4.1392,76756
Hasselt,50.9304,5.3383,69222
Seraing,50.5986,5.5122,64270
Roeselare,50.9447,3.1233,62301
Dendermonde,51.0167,4.1000,45673
Lokeren,51.1000,3.9833,41057
Halle,50.7361,4.2372,39096
Lierre,51.1311,4.5697,36646
Ieper,50.8500,2.8833,34964
Menen,50.7956,3.1217,33190
Binche,50.4103,4.1652,33598
Geraardsbergen,50.7667,3.8667,33403
Louvain-la-Neuve,50.6696,4.6112,31551
Oudenaarde,50.8500,3.6000,31132
Deinze,50.9833,3.5272,31085
Arlon,49.6836,5.8167,29733
Herentals,51.1767,4.8364,28272
Harelbeke,50.8567,3.3131,27886
Andenne,50.4833,5.1000,27017
Ronse,50.7500,3.6000,26337
Tubize,50.6928,4.2050,25914
Maaseik,51.1019,5.7856,25201
Diest,50.9847,5.0514,23824
Rixensart,50.7167,4.5333,22401
Hoogstraten,51.4008,4.7611,21424
Eeklo,51.1858,3.5639,20890
Tielt,50.9989,3.3258,20422
Poperinge,50.8547,2.7256,19718
Eupen,50.6333,6.0333,19526
Essen,51.4678,4.4700,19162
Wervik,50.7797,3.0400,18643
Tessenderlo,51.0697,5.0897,18514
Lessines,50.7117,3.8300,18552
Bas-Warneton,50.7667,3.0000,18063
Aubange,49.5667,5.8050,16927
Landen,50.7547,5.0814,15961
Bastogne,50.0042,5.7200,15894
Genappe,50.6103,4.4497,15353
Couvin,50.0519,4.4961,13782
Herk-de-Stad,50.9406,5.1672,12661
Veurne,51.0722,2.6622,11790
De Panne,51.1019,2.5917,11129
Borgloon,50.8022,5.3433,10697
Estaimpuis,50.6756,3.2758,10424
Erquelinnes,50.3101,4.1219,9940
Chimay,50.0479,4.3173,9841
Halen,50.9481,5.1144,9461
Oudenburg,51.1833,3.0000,9300
Zoutleeuw,50.8333,5.1036,8498
Messancy,49.5950,5.8183,8185
Antoing,50.5669,3.4494,7760
Neufchateau,49.8411,5.4353,7679
Stavelot,50.3947,5.9297,7145
Beaumont,50.2355,4.2383,7137
Hoegaarden,50.7833,4.9000,6942
Quievrain,50.4049,3.6829,6759
Limbourg,50.6122,5.9403,5939
Hotton,50.2683,5.4467,5531
Momignies,50.0294,4.1667,5309
Houffalize,50.1320,5.7894,5222
Gouvy,50.1874,5.9449,5206
Chiny,49.7383,5.3433,5175
