City,Latitude,Longitude,Population
Thimphu,27.4833,89.6333,104000
Paro,27.4333,89.4167,15000
Wangdue Phodrang,27.4333,89.9167,5000
Punakha,27.6167,89.8667,5000
Tsirang,27.0219,90.1229,
Mongar,27.2750,91.2400,
Haa,27.3685,89.2918,
Samdrup Jongkhar,26.8007,91.5052,
Sarpang,26.8639,90.2674,
Trashigang,27.3333,91.5528,
Pemagatshel,27.0380,91.4031,
Tsimasham,27.0989,89.5360,
Samtse,26.8667,89.1000,
Trashi Yangtse,27.6116,91.4980,
Trongsa,27.5168,90.5000,
Zhemgang,27.2169,90.6579,
Lhuentse,27.6679,91.1839,
Jakar,27.5492,90.7525,
Daga,27.0753,89.8769,
Gasa,27.9067,89.7304,
