City,Latitude,Longitude,Population
Santa Cruz,-17.7892,-63.1975,3151676
La Paz,-16.4942,-68.1475,2867504
Sucre,-19.0431,-65.2592,300000
Cochabamba,-17.3935,-66.1570,632013
Oruro,-17.9667,-67.1167,264683
Oruro,-17.9800,-67.1300,246501
Warnes,-17.5103,-63.1647,214216
Potosi,-19.5833,-65.7500,189652
Tarija,-21.5317,-64.7311,179528
Sacaba,-17.4042,-66.0408,172466
Quillacollo,-17.3975,-66.2817,137182
Montero,-17.3333,-63.3833,112837
Trinidad,-14.8333,-64.9000,101454
Cobija,-11.0183,-68.7537,46267
Yacuiba,-22.0139,-63.6778,97296
Riberalta,-10.9830,-66.1000,74014
Villa Tunari,-16.9725,-65.4200,71386
Villamontes,-21.2647,-63.4586,39800
Guayaramerin,-10.8267,-65.3567,36008
Tiquipaya,-17.3381,-66.2189,31264
Viacha,-16.6333,-68.2833,29108
Bermejo,-22.7322,-64.3425,28285
Llallagua,-18.4231,-66.5856,28069
Villazon,-22.0910,-65.5960,28045
Camiri,-20.0500,-63.5200,27961
Uyuni,-20.4627,-66.8240,26958
San Borja,-14.8583,-66.7475,24610
San Ignacio de Velasco,-16.3667,-60.9500,23569
Tupiza,-21.4423,-65.7190,23100
Patacamaya,-17.2333,-67.9167,22858
Puerto Suarez,-18.9633,-57.7978,22000
San Jose de Chiquitos,-17.8500,-60.7500,16942
Vallegrande,-18.4894,-64.1083,16837
Mapiri,-15.3097,-68.2161,16520
Portachuelo,-17.3547,-63.3947,16408
Comarapa,-17.9136,-64.5297,15919
Punata,-17.5469,-65.8367,14742
Villa Yapacani,-17.4028,-63.8850,14589
Ascension,-15.6996,-63.0800,14429
Vinto,-17.3972,-66.3136,14180
Chulumani,-16.4102,-67.5255,13204
Santa Ana de Yacuma,-13.7444,-65.4269,12783
Rurrenabaque,-14.4422,-67.5283,11749
Puerto Quijarro,-17.7796,-57.7700,10392
Robore,-18.3295,-59.7600,10036
Challapata,-18.9000,-66.7667,9114
Achacachi,-16.0444,-68.6850,8857
Aiquile,-18.1667,-65.1667,7381
Cliza,-17.5919,-65.9342,6534
Charagua,-19.7919,-63.2006,6780
San Ramon,-13.2672,-64.6172,6490
Uncia,-18.4682,-66.5648,5709
Camargo,-20.6403,-65.2103,4502
Sicasica,-17.3333,-67.7333,3831
Magdalena,-13.2606,-64.0528,3445
Samaipata,-18.1794,-63.8756,2926
Padilla,-19.3075,-64.3022,2920
Tarabuco,-19.1825,-64.9150,2428
Baures,-13.5833,-63.5833,2422
Coroico,-16.1833,-67.7333,2319
Sorata,-15.7736,-68.6486,2217
Cuevo,-20.4547,-63.5189,1637
Reyes,-14.3096,-67.3700,7376
San Carlos,-17.4000,-63.7300,6353
San Matias,-16.3600,-58.4200,6352
Betanzos,-19.5600,-65.4500,4847
San Javier,-16.2896,-62.5000,4210
Apolo,-14.7196,-68.4200,4189
Quime,-16.9800,-67.2200,4045
San Lorenzo,-21.4799,-64.7700,3000
Entre Rios,-21.5300,-64.1900,2685
Corocoro,-17.1696,-68.4500,1884
Puerto Villarroel,-16.8700,-64.7800,1778
San Rafael,-16.7795,-60.6800,1201
Puerto Acosta,-15.4996,-69.1667,1123
Sabaya,-19.0163,-68.3833,573
Llica,-19.8496,-68.2500,553
Charana,-17.5996,-69.4666,197
Villa Martin Colchak,-20.7666,-67.7833,10
Puerto Heath,-12.5200,-68.6186,10
Piso Firme,-13.6830,-61.8666,72
