City,Latitude,Longitude,Population
Sarajevo,43.8667,18.4167,275524
Banja Luka,44.7667,17.1833,199191
Mostar,43.3494,17.8125,163067
Bijeljina,44.7500,19.2167,114663
Tuzla,44.5381,18.6761,110979
Brcko,44.8783,18.8092,
Prijedor,44.9667,16.7000,89397
Zenica,44.2039,17.9078,70553
Doboj,44.7333,18.1333,68514
Zvornik,44.3833,19.1000,63686
Sanski Most,44.7667,16.6667,47359
Lukavac,44.5333,18.5333,46731
Bihac,44.8167,15.8667,43007
Bugojno,44.0572,17.4508,34559
Zepce,44.4333,18.0333,31582
Trebinje,42.7089,18.3217,31433
Bosanska Krupa,44.8833,16.1500,29659
Capljina,43.1100,17.7000,28122
Breza,44.0210,18.2610,14564
Derventa,44.9800,17.9100,12680
Gorazde,43.6667,18.9778,12512
Foca,43.5000,18.7833,12334
Sapna,44.4917,19.0028,12136
Jablanica,43.6583,17.7583,10580
Vares,44.1644,18.3283,9556
Livno,43.8269,17.0081,9045
Bosanski Petrovac,44.5500,16.3667,7946
Mrkonjic Grad,44.4167,17.0833,7915
Drvar,44.3739,16.3808,7506
Velika Kladusa,45.1667,15.8000,6902
Visegrad,43.7833,19.2833,5869
Tomislavgrad,43.7135,17.2266,5760
