City,Latitude,Longitude,Population
Gaborone,-24.6569,25.9086,231626
Francistown,-21.1736,27.5125,89979
Molepolole,-24.4066,25.4951,67598
Selibe Phikwe,-21.9667,27.9167,49724
Maun,-19.9833,23.4167,49945
Serowe,-22.3833,26.7167,48573
Kanye,-24.9833,25.3500,46831
Mochudi,-24.3770,26.1520,39700
Lobatse,-25.2167,25.6667,29700
Tshabong,-26.0200,22.4056,9679
Kasane,-17.7983,25.1536,9250
Ghanzi,-21.7000,21.6500,6306
Ramotswa,-24.8667,25.8167,
Masunga,-20.6245,27.4488,
Sowa Town,-20.5636,26.2244,
Jwaneng,-24.6017,24.7281,
Mahalapye,-23.1041,26.8142,50744
Palapye,-22.5500,27.1333,36211
Nata,-20.2095,26.1900,4794
Mopipi,-21.1795,24.8800,3301
Lehututu,-23.9696,21.8700,1942
Nokaneng,-19.6696,22.2700,1763
Lokwabe,-24.1696,21.8300,1473
Tsau,-20.1596,22.4600,1409
Muhembo,-18.2996,21.8000,757
