City,Latitude,Longitude,Population
Sao Paulo,-23.5504,-46.6339,22046000
Rio de Janeiro,-22.9083,-43.1964,12272000
Belo Horizonte,-19.8917,-43.9478,5159000
Brasilia,-15.7744,-48.0773,3015268
Salvador,-12.9708,-38.5108,2921087
Fortaleza,-3.7275,-38.5275,2452185
Curitiba,-25.4297,-49.2719,1879355
Manaus,-3.1000,-60.0167,1802014
Vitoria,-20.3240,-40.3660,1704000
Recife,-8.0539,-34.8808,1555039
Porto Alegre,-30.0328,-51.2300,1484941
Goiania,-16.6789,-49.2539,1393575
Belem,-1.4558,-48.5039,1393399
Guarulhos,-23.4667,-46.5333,1324781
Vila Velha,3.2167,-51.2167,1209091
Campinas,-22.9009,-47.0573,1164098
Sao Luis,-2.5300,-44.3028,1073893
Maceio,-9.6658,-35.7350,1029129
Joinvile,-26.3200,-48.8399,988000
Natal,-6.9838,-60.2699,980588
Olinda,-8.0000,-34.8500,921840
Natal,-5.7950,-35.2089,877662
Novo Hamburgo,-29.7096,-51.1400,876990
Campo Grande,-20.4686,-54.6222,874210
Teresina,-5.0949,-42.8042,847430
Iguacu,-22.7400,-43.4700,844583
Sao Bernardo do Campo,-23.6939,-46.5650,816925
Joao Pessoa,-7.0833,-34.8333,801718
Jaboatao,-8.1803,-35.0014,702621
Santo Andre,-23.6572,-46.5333,710210
Osasco,-23.5328,-46.7919,694844
Aracaju,-10.9111,-37.0717,685356
Sao Jose dos Campos,-23.1789,-45.8869,688597
Sao Jose dos Pinhais,-25.5700,-49.1800,665063
Ribeirao Preto,-21.1783,-47.8067,666323
Sorocaba,-23.5019,-47.4578,644919
Uberlandia,-18.9189,-48.2769,604013
Canoas,-29.9200,-51.1800,600000
Cuiaba,-15.5958,-56.0969,585367
Londrina,-23.3000,-51.1800,520238
Niteroi,-22.8833,-43.1036,496696
Juiz de Fora,-21.7642,-43.3503,470193
Feira de Santana,-12.2500,-38.9700,481911
Americana,-22.7392,-47.3314,479472
Florianopolis,-27.5933,-48.5530,477798
Vila Velha,-20.3364,-40.2936,472762
Macapa,0.0330,-51.0653,474706
Maua,-23.6678,-46.4608,453286
Volta Redonda,-22.5196,-44.0950,456362
Sao Jose do Rio Preto,-20.8200,-49.3789,442548
Diadema,-23.6858,-46.6228,412428
Santos,-23.9608,-46.3339,433966
Mogi das Cruzes,-23.5228,-46.1931,424633
Ipatinga,-19.4796,-42.5200,407894
Campina Grande,-7.2306,-35.8811,405072
Carapicuiba,-23.5228,-46.8358,392294
Jundiai,-23.1864,-46.8842,401896
Campos,-21.7523,-41.3304,387417
Caxias do Sul,-29.1800,-51.1700,381270
Rio Branco,-9.9781,-67.8117,383443
Bauru,-22.3147,-49.0606,366992
Anapolis,-16.3269,-48.9528,366491
Montes Claros,-16.7322,-43.8636,361915
Sao Vicente,-23.9633,-46.3922,355542
Itaquaquecetuba,-23.4864,-46.3486,352801
Piracicaba,-22.7250,-47.6489,342209
Franca,-20.5389,-47.4008,342112
Maringa,-23.4095,-51.9300,328335
Pelotas,-31.7500,-52.3300,320674
Itajai,-26.8996,-48.6800,327126
Boa Vista,2.8200,-60.6719,326419
Uberaba,-19.7478,-47.9319,325279
Vitoria da Conquista,-14.8661,-40.8394,308204
Guaruja,-23.9936,-46.2564,311230
Porto Velho,-8.7619,-63.9039,306180
Blumenau,-26.9189,-49.0658,309011
Taubate,-23.0333,-45.5500,302331
Praia Grande,-24.0058,-46.4028,299261
Petropolis,-22.5050,-43.1789,298142
Limeira,-22.5647,-47.4017,296440
Ponta Grossa,-25.0900,-50.1600,292177
Crato,-7.2342,-39.4094,273883
Taboao da Serra,-23.6019,-46.7528,272177
Crato,-7.4639,-63.0400,273883
Palmas,-10.2128,-48.3603,272726
Sumare,-22.8219,-47.2669,265955
Maraba,-5.3689,-49.1178,266932
Petrolina,-9.3800,-40.5100,260985
Barueri,-23.5111,-46.8764,262275
Cascavel,-24.9558,-53.4553,257172
Governador Valadares,-18.8700,-41.9700,250878
Foz do Iguacu,-25.5478,-54.5878,256088
Santa Maria,-29.6833,-53.8000,249219
Varzea Grande,-15.6500,-56.1400,249752
Caruaru,-8.2800,-35.9800,242094
Juazeiro do Norte,-7.2100,-39.3200,225230
Sao Carlos,-22.0178,-47.8908,241389
Ilheus,-14.7936,-39.0395,230622
Santarem,-2.4431,-54.7083,230428
Marilia,-22.2139,-49.9458,232006
Indaiatuba,-23.0903,-47.2181,231033
Itabuna,-14.7896,-39.2800,221938
Cotia,-23.6039,-46.9189,229548
Jacarei,-23.3050,-45.9658,226539
Araraquara,-21.7939,-48.1758,226508
