City,Latitude,Longitude,Population
Sofia,42.6975,23.3241,1355142
Plovdiv,42.1433,24.7489,384088
Varna,43.2078,27.9169,369162
Burgas,42.5000,27.4667,226868
Ruse,43.8475,25.9544,163712
Stara Zagora,42.4247,25.6256,158668
Pleven,43.4078,24.6203,123588
Sliven,42.6808,26.3164,107570
Dobrich,43.5667,27.8333,104530
Shumen,43.2700,26.9244,97719
Haskovo,41.9311,25.5575,93821
Yambol,42.4844,26.5086,84232
Pazardzhik,42.1892,24.3317,84619
Pernik,42.6097,23.0308,83973
Blagoevgrad,42.0219,23.0975,82606
Veliko Tarnovo,43.0822,25.6317,72207
Vratsa,43.2000,23.5500,69493
Kardzhali,41.6400,25.3708,66128
Kyustendil,42.2811,22.6889,63359
Gabrovo,42.8711,25.3150,62938
Vidin,43.9853,22.8764,58018
Montana,43.4078,23.2250,49597
Targovishte,43.2467,26.5719,45535
Silistra,44.1186,27.2603,42651
Lovech,43.1342,24.7172,42343
Razgrad,43.5267,26.5242,41909
Smolyan,41.5753,24.7128,31548
Asenovgrad,42.0069,24.8756,59793
Kazanlak,42.6167,25.4000,56047
Dimitrovgrad,42.0611,25.5933,45098
Petrich,41.3953,23.2069,40728
Dupnitsa,42.2650,23.1178,39467
Gorna Oryahovitsa,43.1222,25.6897,35031
Sandanski,41.5589,23.2744,30695
Samokov,42.3381,23.5600,29094
Nova Zagora,42.4903,26.0122,26660
Karlovo,42.6430,24.8053,25919
Velingrad,42.0267,23.9910,25764
Sevlievo,43.0258,25.1039,25372
Lom,43.8272,23.2364,25172
Aytos,42.7000,27.2500,24750
Svishtov,43.6186,25.3439,24459
Harmanli,41.9297,25.9019,23932
Troyan,42.8844,24.7094,23520
Botevgrad,42.9083,23.7919,22742
Peshtera,42.0322,24.3022,21824
Gotse Delchev,41.5728,23.7294,21969
Karnobat,42.6500,26.9833,20411
Svilengrad,41.7675,26.1975,20390
Momchilgrad,41.5272,25.4075,19609
Panagyurishte,42.5047,24.1892,18350
Popovo,43.3481,26.2275,17703
Chirpan,42.1994,25.3242,17522
Rakovski,42.2875,24.9678,16731
Parvomay,42.0994,25.2242,15518
Provadia,43.1789,27.4431,15095
Berkovitsa,43.2361,23.1258,14993
Novi Pazar,43.3500,27.2000,14931
Radomir,42.5467,22.9642,14880
Novi Iskar,42.8031,23.3436,13768
Pomorie,42.5586,27.6417,14634
Ihtiman,42.4333,23.8167,14656
Radnevo,42.2886,25.9336,13554
Nesebar,42.6608,27.7139,13559
Balchik,43.4078,28.1622,13393
Razlog,41.8853,23.4667,13158
Stamboliyski,42.1344,24.5353,12346
Byala Slatina,43.4667,23.9333,12935
Kozloduy,43.7781,23.7275,12400
Kavarna,43.4333,28.3389,12369
Bankya,42.7000,23.1333,11233
Pavlikeni,43.2367,25.3092,11921
Isperih,43.7156,26.8275,11797
Mezdra,43.1425,23.7142,11719
Kostinbrod,42.8167,23.2167,11430
Etropole,42.8333,24.0000,11292
Knezha,43.5000,24.0833,11124
Elhovo,42.1719,26.5658,10929
Omurtag,43.1072,26.4192,10825
Tutrakan,44.0481,26.6044,10370
Ardino,41.5833,25.1333,10336
Lukovit,43.2061,24.1631,10316
Teteven,42.9167,24.2667,10279
Kubrat,43.7967,26.5011,10011
Tryavna,42.8667,25.4919,9634
Bansko,41.8333,23.4833,9497
Krichim,42.0414,24.4700,9188
Sredets,42.3461,27.1808,9237
Veliki Preslav,43.1614,26.8125,9196
Devnya,43.2189,27.5603,9036
Rakitovo,41.9900,24.0872,8977
Septemvri,42.2183,24.1237,8813
Lyaskovets,43.1061,25.7153,8728
Krumovgrad,41.4719,25.6528,8800
Aksakovo,43.2592,27.8175,8164
Simeonovgrad,42.0344,25.8319,8539
Dzhebel,41.5000,25.3000,8514
Dulovo,43.8225,27.1406,8493
Belene,43.6456,25.1258,8122
Beloslav,43.1892,27.7050,8017
Svoge,42.9594,23.3477,8003
Lyubimets,41.8333,26.0833,7892
Dryanovo,42.9736,25.4747,7908
Zlatograd,41.3797,25.0928,7623
Tervel,43.7500,27.4000,7632
Dolni Chiflik,42.9931,27.7158,7557
Simitli,41.8919,23.1111,7372
Pirdop,42.7000,24.1833,7353
Slivnitsa,42.8522,23.0375,7320
Kuklen,42.0353,24.7853,7331
Elin Pelin,42.6689,23.6025,7189
General Toshevo,43.7006,28.0367,7157
Devin,41.7425,24.3992,6859
Kostenets,42.3075,23.8575,6777
Tvarditsa,42.7017,25.8975,6711
Straldzha,42.6000,26.6833,6635
Varshets,43.1953,23.2858,6500
Tsarevo,42.1708,27.8511,6196
Kotel,42.8894,26.4469,6021
Yakoruda,42.0183,23.6697,5813
Kameno,42.5667,27.3000,5788
Belogradchik,43.6269,22.6833,5775
Vetovo,43.7000,26.2667,5707
Elena,42.9297,25.8772,5742
Bobov Dol,42.3661,23.0053,5651
Topolovgrad,42.0842,26.3375,5659
Strazhitsa,43.2333,25.9667,5589
Oryahovo,43.7367,23.9583,5367
Suvorovo,43.3300,27.5925,5214
Chepelare,41.7233,24.6861,5262
Perushtitsa,42.0561,24.5444,5162
Zlatitsa,42.7150,24.1389,5139
Bozhurishte,42.7500,23.2000,5047
