City,Latitude,Longitude,Population
Ouagadougou,12.3572,-1.5353,1626950
Bobo-Dioulasso,11.1833,-4.2833,360106
Koudougou,12.2500,-2.3667,87347
Ouahigouya,13.5833,-2.4167,79504
Banfora,10.6308,-4.7589,60288
Kaya,13.0904,-1.0900,40017
Dedougou,12.4667,-3.4667,38862
Tenkodogo,11.7804,-0.3697,38108
Dori,14.0500,0.0500,37806
Fada Ngourma,12.0500,0.3667,33910
Manga,11.6667,-1.0667,15173
Ziniare,12.5770,-1.2930,12703
Gaoua,10.2992,-3.2508,
Reo,12.3335,-2.4669,37535
Koupela,12.1770,-0.3560,32052
Kombissiri,12.0640,-1.3340,30137
Nouna,12.7329,-3.8622,29048
Gaoua,10.3250,-3.1740,28023
Leo,11.0940,-2.0980,26884
Diapaga,12.0770,1.7960,26013
Zorgo,12.2430,-0.6110,23892
Yako,12.9540,-2.2630,22904
Djibo,14.0990,-1.6270,22223
Po,11.1690,-1.1350,17924
Tougan,13.0690,-3.0700,17590
Boulsa,12.6570,-0.5690,17489
Diebougou,10.9520,-3.2480,12732
Salanso,12.1833,-4.0833,10385
Bogande,12.9690,-0.1380,9854
Gorom-Gorom,14.4500,-0.2333,6691
Sapouy,11.5544,-1.7736,3837
Sebba,13.4364,0.5304,3273
