City,Latitude,Longitude,Population
Rangoon,16.8000,96.1500,5430000
Mandalay,21.9769,96.0869,1225546
Nay Pyi Taw,19.8028,96.1583,1160242
Hpa-An,16.8906,97.6333,421525
Bago,17.3433,96.4981,284179
Myeik,12.4394,98.6003,266720
Mawlamyine,16.4847,97.6258,253734
Myitkyina,25.3867,97.3936,243031
Pathein,16.7667,94.7333,237089
Monywa,22.1083,95.1358,207489
Sittwe,20.1444,92.8969,181000
Hinthada,17.6483,95.4679,180728
Letpandan,17.7866,95.7507,176571
Myingyan,21.4618,95.3914,163812
Taunggyi,20.7833,96.9667,160115
Mudon,16.2618,97.7215,152300
Dawei,14.0367,98.1867,139900
Pyay,18.8165,95.2114,135308
Pakokku,21.3320,95.0866,126938
Magway,20.1500,94.9500,125973
Yenangyaung,20.4583,94.8732,110553
Taungoo,18.9483,96.4179,106945
Sagaing,21.8822,95.9786,69917
Hakha,22.6500,93.6167,20000
Loikaw,19.6742,97.2092,11000
Chauk,20.9085,94.8230,90870
Shwebo,22.5783,95.6929,88914
Pyapon,16.2853,95.6786,76741
Kengtung,21.2914,99.6039,75865
Allanmyo,19.3783,95.2279,57897
Thongwa,16.7547,96.5193,52496
Ye,15.2533,97.8679,50798
Wakema,16.6133,95.1829,48405
Namtu,23.0837,97.4000,48591
Pyu,18.4779,96.4379,40386
Nyaungdon,17.0433,95.6429,36172
Amarapura,21.9000,96.0458,23200
Haka,22.9833,94.0167,20000
Kyaukpyu,19.4333,93.5500,4261
Labutta,16.1619,94.7014,1667
