City,Latitude,Longitude,Population
Bujumbura,-3.3825,29.3611,658859
Gitega,-3.4264,29.9306,41944
Ngozi,-2.9000,29.8167,39884
Kayanza,-2.9221,29.6293,21767
Rutana,-3.9310,29.9930,20893
Bubanza,-3.0833,29.4000,20031
Karuzi,-3.1000,30.1630,10705
Kirundo,-2.5833,30.1000,10024
Muyinga,-2.8500,30.3333,9609
Makamba,-4.1333,29.8000,9396
Ruyigi,-3.4667,30.2500,7139
Muramvya,-3.2500,29.6000,5458
Bururi,-3.9333,29.6167,4478
Cankuzo,-3.2194,30.5528,3624
Isale,-3.3444,29.4833,
Rumonge,-3.9736,29.4386,
Cibitoke,-2.8869,29.1248,
Gitega,-3.4260,29.8436,23167
Gatumba,-3.3333,29.2500,11700
