City,Latitude,Longitude,Population
Praia,14.9177,-23.5092,127832
Mindelo,16.8914,-24.9880,70468
Assomada,15.0949,-23.6654,12026
Pedra Badejo,15.1375,-23.5333,9530
Sao Filipe,14.8966,-24.4955,8122
Sal Rei,16.1760,-22.9171,6357
Espargos,16.7546,-22.9453,6173
Calheta de Sao Miguel,15.1875,-23.5917,4123
Porto Ingles,15.1375,-23.2083,3056
Sao Domingos,15.0250,-23.5625,2818
Cidade Velha,14.9167,-23.6042,2148
Picos,15.0833,-23.6500,
Ribeira Grande,17.1825,-25.0650,
Ponta do Sol,17.2014,-25.0917,
Pombas,17.1503,-25.0201,
Tarrafal,16.5667,-24.3556,
Joao Teves,15.0669,-23.5892,
Igreja,15.0339,-24.3250,
Nova Sintra,14.8714,-24.6956,
Cova Figueira,14.8833,-24.3000,
Ribeira Brava,16.6158,-24.2983,
Porto Novo,17.0208,-25.0667,
Tarrafal,15.2833,-23.7667,
