City,Latitude,Longitude,Population
Phnom Penh,11.5696,104.9210,2129371
Siem Reap,13.3622,103.8597,147866
Battambang,13.1000,103.2000,130000
Kampong Cham,12.0000,105.4500,118242
Prey Veng,11.4840,105.3240,74000
Kratie,12.4881,106.0188,60000
Pursat,12.5337,103.9167,52476
Takeo,10.9833,104.7833,52000
Sisophon,13.5833,102.9833,50302
Kampong Chhnang,12.2500,104.6667,41700
Kampot,10.6000,104.1667,39186
Krong Kep,10.4828,104.3167,35990
Kampong Thom,12.7111,104.8886,31871
Kampong Speu,11.4500,104.5333,33231
Koh Kong,11.6167,102.9833,33134
Stung Treng,13.5167,105.9667,29665
Svay Rieng,11.0878,105.7994,23956
Tbeng Meanchey,13.8167,104.9667,24380
Sen Monorom,12.4500,107.2000,7500
Ta Khmau,11.4833,104.9500,
Banlung,13.7394,106.9873,
Sihanoukville,10.6333,103.5000,
Suong,11.9167,105.6500,
Samraong,14.1817,103.5176,
Pailin,12.8489,102.6093,
Kampong Thum,12.7120,104.8890,19951
Lumphat,13.5070,106.9810,19205
