City,Latitude,Longitude,Population
Yaounde,3.8578,11.5181,2440462
Douala,4.0500,9.7000,2446945
Maroua,10.5823,14.3275,319941
Bafoussam,5.4667,10.4167,290768
Bamenda,5.9333,10.1667,269530
Garoua,9.3000,13.4000,235996
Limbe,4.0167,9.2167,212474
Ngaoundere,7.3214,13.5839,189800
Bertoua,4.5833,13.6833,173000
Kumba,4.6333,9.4500,144413
Buea,4.1667,9.2333,131325
Kumbo,6.2000,10.6600,125486
Edea,3.8000,10.1333,122300
Nkongsamba,4.9500,9.9167,117063
Ebolowa,2.9000,11.1500,87875
Bogo,10.7361,14.6108,95230
Bafang,5.1704,10.1800,93145
Foumban,5.7167,10.9167,92673
Guider,9.9342,13.9486,84647
Mbalmayo,3.5200,11.5122,80206
Meiganga,6.5172,14.2947,80100
Dschang,5.4500,10.0500,76524
Tibati,6.4669,12.6158,72081
Bafia,4.7425,11.2247,69270
Wum,6.3833,10.0667,68836
Kribi,2.9500,9.9167,60000
Batouri,4.4333,14.3667,43821
Kalfou,10.2840,14.9298,26223
Belabo,4.9333,13.3000,22553
Eseka,3.6504,10.7666,22221
Abong Mbang,3.9833,13.1667,14661
Kontcha,7.9670,12.2333,8018
Aiyomojok,5.7504,8.9833,5798
Mbe,7.8504,13.6000,3950
