City,Latitude,Longitude,Population
Toronto,43.7417,-79.3733,5429524
Montreal,45.5089,-73.5617,3519595
Vancouver,49.2500,-123.1000,2264823
Calgary,51.0500,-114.0667,1239220
Edmonton,53.5344,-113.4903,1062643
Ottawa,45.4247,-75.6950,989567
Winnipeg,49.8844,-97.1464,705244
Quebec City,46.8139,-71.2081,705103
Kitchener,43.4186,-80.4728,470015
Halifax,44.6475,-63.5906,403131
Victoria,48.4283,-123.3647,335696
Mississauga,43.6000,-79.6500,721599
Hamilton,43.2567,-79.8692,693645
Brampton,43.6833,-79.7667,593638
Surrey,49.1900,-122.8489,517887
Laval,45.5833,-73.7500,422993
London,42.9836,-81.2497,383822
Markham,43.8767,-79.2633,328966
St. Catharines,43.1833,-79.2333,309319
Niagara Falls,43.0600,-79.1067,308596
Vaughan,43.8333,-79.5000,306233
Gatineau,45.4833,-75.6500,276245
Windsor,42.2833,-83.0000,276165
Saskatoon,52.1333,-106.6833,246376
Longueuil,45.5333,-73.5167,239700
Burnaby,49.2667,-122.9667,232755
Regina,50.4547,-104.6067,215106
Richmond,49.1667,-123.1333,198309
Richmond Hill,43.8667,-79.4333,195022
Oakville,43.4500,-79.6833,193832
Burlington,43.3167,-79.8000,183314
Barrie,44.3711,-79.6769,172657
Oshawa,43.9000,-78.8500,166000
Sherbrooke,45.4000,-71.9000,161323
Saguenay,48.4167,-71.0667,144746
Levis,46.8000,-71.1833,143414
Kelowna,49.8881,-119.4956,142146
Abbotsford,49.0500,-122.3167,141397
Coquitlam,49.2839,-122.7919,139284
Trois-Rivieres,46.3500,-72.5500,134413
Guelph,43.5500,-80.2500,131794
Cambridge,43.3972,-80.3114,129920
Whitby,43.8833,-78.9417,128377
Ajax,43.8583,-79.0364,119677
Langley,49.1044,-122.5827,117285
Saanich,48.4840,-123.3810,114148
Terrebonne,45.7000,-73.6333,111575
Milton,43.5083,-79.8833,110128
St. John's,47.4817,-52.7971,108860.00
Moncton,46.1328,-64.7714,108620
Thunder Bay,48.3822,-89.2461,107909
Dieppe,46.0989,-64.7242,107068
Waterloo,43.4667,-80.5167,104986
Delta,49.0847,-123.0586,102238
Chatham,42.4229,-82.1324,101647.00
Red Deer,52.2681,-113.8111,100418
Kamloops,50.6761,-120.3408,100046
Newmarket,44.0500,-79.4667,84224
White Rock,49.0250,-122.8028,82368
New Westminster,49.2069,-122.9111,70996
Port Coquitlam,49.2625,-122.7811,58612
Dollard-des-Ormeaux,45.4833,-73.8167,49637
Duncan,48.7787,-123.7079,44451
Cote-Saint-Luc,45.4687,-73.6673,32448.00
Sainte-Therese,45.6333,-73.8500,26025
Saint-Lambert,45.5000,-73.5167,21861
Kirkland,45.4500,-73.8667,20151
Westmount,45.4833,-73.6000,19931
Mont-Royal,45.5161,-73.6431,19503
Sainte-Marthe-sur-le-Lac,45.5300,-73.9300,18074
Esquimalt,48.4306,-123.4147,17655
Deux-Montagnes,45.5333,-73.8833,17553
L'Ancienne-Lorette,46.8000,-71.3500,16745
Pincourt,45.3833,-73.9833,14558
Sidney,48.6506,-123.3986,11672
Bois-des-Filion,45.6667,-73.7500,9485
Hampstead,45.4833,-73.6333,7153
Charlemagne,45.7167,-73.4833,5853
L'Epiphanie,45.8500,-73.4833,5353
Montreal-Ouest,45.4536,-73.6472,5085
Brantford,43.1667,-80.2500,97496
Cape Breton,46.1389,-60.1931,94285
Lethbridge,49.6942,-112.8328,92729
Saint-Jean-sur-Richelieu,45.3167,-73.2667,92394
Clarington,43.9350,-78.6083,92013
Pickering,43.8354,-79.0890,91771
Nanaimo,49.1642,-123.9364,90504
Sudbury,46.4900,-81.0100,88054
North Vancouver,49.3641,-123.0066,85935.00
Brossard,45.4667,-73.4500,85721
Repentigny,45.7333,-73.4667,84965
Chilliwack,49.1577,-121.9509,83788
Maple Ridge,49.2167,-122.6000,82256
Peterborough,44.3000,-78.3167,82094
Kawartha Lakes,44.3500,-78.7500,75423
Prince George,53.9169,-122.7494,74003
Sault Ste. Marie,46.5333,-84.3500,73368
Sarnia,42.9994,-82.3089,71594
Wood Buffalo,57.6042,-111.3284,71589.00
Chateauguay,45.3800,-73.7500,70812
Saint-Jerome,45.7833,-74.0000,69598
Drummondville,45.8833,-72.4833,68601
