City,Latitude,Longitude,Population
Bangui,4.3732,18.5628,734350
Bimbo,4.3313,18.5163,124176
Berberati,4.2667,15.7833,76918
Bambari,5.7667,20.6833,41356
Bouar,5.9500,15.6000,40353
Bossangoa,6.4833,17.4500,37780
Bria,6.5369,21.9919,35204
Bangassou,4.7370,22.8190,31453
Nola,3.5337,16.0666,26809
Kaga Bandoro,7.0006,19.1808,24661
Sibut,5.7378,19.0867,22419
Mbaiki,3.8833,18.0000,22166
Bozoum,6.3172,16.3783,20665
Obo,5.4000,26.5000,12887
Ndele,8.4091,20.6530,11764
Birao,10.2837,22.7833,10178
Mobaye,4.3167,21.1833,7176
Carnot,4.9333,15.8667,45421
Zemio,5.0337,25.1333,20000
Kabo,7.6994,18.6292,16279
Kouango,4.9667,19.9833,6984
Baboua,5.7833,14.8192,6812
Bossembele,5.2670,17.6500,7287
Ouadda,8.0671,22.4000,5434
Yakossi,5.6170,23.3167,500
