City,Latitude,Longitude,Population
N'Djamena,12.1100,15.0500,1092066
Sarh,9.1500,18.3833,169196
Moundou,8.5667,16.0833,142462
Abeche,13.8331,20.8347,76492
Goz-Beida,12.2236,21.4144,66107
Koumra,8.9000,17.5500,39852
Am-Timan,11.0333,20.2833,38261
Doba,8.6500,16.8500,29597
Bongor,10.2806,15.3722,27770
Mongo,12.1837,18.7000,27763
Ati,13.2139,18.3403,20695
Lai,9.4000,16.3000,19382
Mao,14.1194,15.3133,19004
Moussoro,13.6333,16.4833,16349
Faya,17.9300,19.1031,13400
Bol,13.4586,14.7147,11700
Biltine,14.5333,20.9167,11000
Massenya,11.4028,16.1700,3680
Fada,17.1833,21.5833,448
Pala,9.3646,14.9073,
Massakory,13.0000,15.7333,
Amdjarass,16.0667,22.8354,
Bardai,21.3547,17.0016,
Kelo,9.3171,15.8000,96224
Yao,12.8508,17.5608,91507
Fianga,9.9153,15.1375,42606
Pala Oua,9.3500,14.9667,38975
Oum Hadjer,13.2833,19.6833,26136
Zouar,20.4500,16.5167,6432
