City,Latitude,Longitude,Population
Santiago,-33.4500,-70.6667,7007000
Antofagasta,-23.6464,-70.3980,380695
Vina del Mar,-33.0244,-71.5517,332875
Valparaiso,-33.0458,-71.6197,296655
Temuco,-38.7399,-72.5901,282415
San Bernardo,-33.6000,-70.7000,246762
Puerto Montt,-41.4718,-72.9396,245902
Rancagua,-34.1654,-70.7398,231370
La Serena,-29.9027,-71.2520,221054
Concepcion,-36.8271,-73.0503,217537
Los Angeles,-37.4707,-72.3517,218000
Coquimbo,-29.9532,-71.3380,204068
Arica,-18.4784,-70.3211,202131
Talca,-35.4550,-71.6700,197479
Iquique,-20.2141,-70.1524,188003
Chillan,-36.6067,-72.1033,164270
Calama,-22.4624,-68.9272,157575
Talcahuano,-36.7145,-73.1141,147831
Copiapo,-27.3665,-70.3323,150804
Valdivia,-39.8142,-73.2459,150048
Quilpue,-33.0498,-71.4415,147991
Osorno,-40.5667,-73.1500,147460
Villa Alemana,-33.0428,-71.3744,125140
Curico,-34.9854,-71.2394,125275
Punta Arenas,-53.1627,-70.9081,123403
Coyhaique,-45.5712,-72.0685,49667
Coronel,-37.0300,-73.1600,92940
Quillota,-32.8799,-71.2474,90517
San Antonio,-33.5809,-71.6132,86239
Ovalle,-30.6031,-71.2030,75864
Linares,-35.8454,-71.5979,73602
Los Andes,-32.8337,-70.5982,68093
San Felipe,-32.7507,-70.7251,64120
San Fernando,-34.5839,-70.9891,58367
Angol,-37.7988,-72.7086,53262
Vallenar,-28.5700,-70.7600,44895
Lota,-37.0944,-73.1563,43272
Alerce,-41.3969,-72.9037,42267
Tome,-36.6171,-72.9575,42312
Constitucion,-35.3296,-72.4200,37917
Lampa,-33.2864,-70.8729,37599
Castro,-42.4824,-73.7643,33417
Villarrica,-39.2800,-72.2300,31602
Cauquenes,-35.9671,-72.3154,31362
Curanilahue,-37.4800,-73.3400,30611
San Javier,-35.5924,-71.7353,29017
Ancud,-41.8682,-73.8287,28162
Chillan Viejo,-36.6229,-72.1317,27359
La Union,-40.2952,-73.0822,26517
Puerto Varas,-41.3178,-72.9827,26172
Victoria,-38.2395,-72.3400,24555
Tocopilla,-22.0941,-70.2010,24460
Lebu,-37.6103,-73.6561,22345
Casablanca,-33.3167,-71.4167,21874
Illapel,-31.6327,-71.1683,20751
Salamanca,-31.7796,-70.9800,20214
La Ligua,-32.4494,-71.2317,19127
Puerto Natales,-51.7263,-72.5062,19023
Nueva Imperial,-38.7400,-72.9600,18777
Diego de Almagro,-26.3696,-70.0500,18137
Arauco,-37.2463,-73.3175,17597
Puerto Aysen,-45.4068,-72.6977,17441
Batuco,-33.2299,-70.8085,16784
Rio Bueno,-40.3337,-72.9568,16909
Collipulli,-37.9600,-72.4300,16392
Calbuco,-41.7712,-73.1275,15903
Loncoche,-39.3669,-72.6308,15590
Chanaral,-29.0772,-71.4906,13543
Vicuna,-30.0295,-70.7400,13496
Frutillar,-41.1258,-73.0605,12876
Tierra Amarilla,-27.4800,-70.2800,12888
Los Lagos,-39.8495,-72.8300,12813
Pichilemu,-34.3851,-72.0049,12776
San Francisco de Mostazal,-33.9799,-70.7122,12719
Chuquicamata,-22.3200,-68.9300,11941
Carahue,-38.7095,-73.1700,11875
Chicureo Abajo,-33.2808,-70.6366,10975
Panguipulli,-39.6419,-72.3334,11091
Yungay,-37.1194,-72.0189,10884
Caldera,-27.0696,-70.8300,10259
Lonquimay,-38.4333,-71.2333,10237
Taltal,-25.4000,-70.4700,10018
Pozo Almonte,-20.2597,-69.7862,9277
Lo Miranda,-34.1957,-70.8891,9000
Lanco,-39.4523,-72.7755,8521
Ventanas,-32.7419,-71.4839,8314
Fresia,-41.1531,-73.4223,7328
Hanga Roa,-27.1492,-109.4323,7163
Dalcahue,-42.3796,-73.6473,7120
Monte Aguila,-37.0879,-72.4385,6574
Porvenir,-53.2956,-70.3687,5992
Chonchi,-42.6238,-73.7725,5632
San Pedro de Atacama,-22.9108,-68.2001,5347
Puchuncavi,-32.7261,-71.4151,5271
Laraquete,-37.1677,-73.1859,5014
Santa Barbara,-37.6667,-72.0167,3494
Cochrane,-47.2539,-72.5732,2789
Puerto Williams,-54.9341,-67.6109,1868
Quellon,-43.1201,-73.6203,7029
Quirihue,-36.2800,-72.5300,6529
El Palqui,-30.7679,-70.9433,6175
Combarbala,-31.1800,-71.0000,5134
Huasco,-28.4696,-71.2200,2558
Oficina Maria Elena,-22.3500,-69.6700,2370
Tolten,-39.2166,-73.2123,2293
Mejillones,-23.1000,-70.4500,2041
Toconao,-23.1829,-68.0166,378
Balsadero Rio Verde,-52.6500,-71.4666,358
Villa O'Higgins,-48.4679,-72.5600,250
Cuya,-19.1597,-70.1794,20
Lagunas,-20.9829,-69.6833,10
