City,Latitude,Longitude,Population
Shanghai,31.1667,121.4667,22120000
Guangzhou,23.1288,113.2590,20902000
Beijing,39.9050,116.3914,19433000
Shenzhen,22.5350,114.0540,15929000
Nanyang,32.9987,112.5292,12010000
Chengdu,30.6636,104.0667,11309000
Linyi,35.0606,118.3425,10820000
Tianjin,39.1467,117.2056,10800000
Shijiazhuang,38.0422,114.5086,10784600
Baoding,38.8671,115.4845,10700000
Zhoukou,33.6250,114.6418,9901000
Weifang,36.7167,119.1000,9373000
Wuhan,30.5872,114.2881,8962000
Heze,35.2333,115.4333,8750000
Ganzhou,25.8292,114.9336,8677600
Tongshan,34.2610,117.1859,8669000
Handan,36.6116,114.4894,8499000
Fuyang,32.8986,115.8045,8360000
Jining,35.4000,116.5667,8023000
Dongguan,23.0475,113.7493,7981000
Chongqing,29.5500,106.5069,7739000
Changchun,43.9000,125.2000,7674439
Zhumadian,32.9773,114.0253,7640000
Ningbo,29.8750,121.5492,7639000
Nanjing,32.0500,118.7667,7496000
Hefei,31.8639,117.2808,7457027
Nantong,31.9829,120.8873,7282835
Yancheng,33.3936,120.1339,7260240
Foshan,23.0292,113.1056,7194311
Nanning,22.8192,108.3150,7153300
Hengyang,26.8968,112.5857,7148344
Xi'an,34.2667,108.9000,7135000
Shenyang,41.8039,123.4258,7105000
Tangshan,39.6292,118.1742,7100000
Shaoyang,27.2418,111.4725,7071000
Changsha,28.1987,112.9709,7044118
Zhengzhou,34.7492,113.6605,7005000
Zhanjiang,21.1967,110.4031,6900000
Cangzhou,38.3037,116.8452,6800000
Maoming,21.6618,110.9178,6706000
Huanggang,30.4500,114.8750,6667000
Xinyang,32.1264,114.0672,6634000
Shangrao,28.4419,117.9633,6579714
Luoyang,34.6587,112.4245,6549941
Bijie,27.3019,105.2863,6537498
Yantai,37.3997,121.2664,6516900
Quanzhou,24.9139,118.5858,6480000
Hangzhou,30.2500,120.1675,6446000
Kunming,25.0433,102.7061,6250000
Nanchong,30.7991,106.0784,6183000
Zunyi,27.7050,106.9336,6127009
Lu'an,31.7542,116.5078,6090000
Yichun,27.8041,114.3830,6048700
Taizhou,28.6583,121.4221,5968838
Liaocheng,36.4500,115.9833,5955300
Qujing,25.5102,103.8029,5855055
Xiangyang,32.0654,112.1531,5844000
Qingdao,36.1167,120.4000,5775000
Changde,29.0397,111.6839,5717200
Dazhou,31.2152,107.4947,5693000
Suzhou,33.6333,116.9683,5690000
Jieyang,23.5533,116.3649,5634000
Nangandao,35.2992,113.8851,5516000
Tai'an,36.2001,117.0809,5499000
Yulin,22.6293,110.1507,5487368
Dezhou,37.4513,116.3105,5470000
Suihua,46.6384,126.9808,5420000
Qiqihar,47.3398,123.9512,5367003
Jinhua,29.1046,119.6494,5361572
Shantou,23.3735,116.6941,5319028
Weinan,34.4996,109.4684,5300000
Suqian,33.9331,118.2831,5290000
Suzhou,31.3040,120.6164,5250000
Fuzhou,26.0769,119.2917,5245000
Zhaotong,27.3328,103.7144,5213521
Pudong,31.2231,121.5397,5187200
Yongzhou,26.4515,111.5953,5180235
Zhangzhou,24.5093,117.6612,5140000
Bozhou,33.8626,115.7742,5100000
Nanchang,28.6842,115.8872,5042565
Xianyang,34.3500,108.7167,5040000
Taizhou,32.4831,119.9000,5031000
Ji'an,27.1172,114.9793,4956600
Mianyang,31.4669,104.7385,4945000
Shaoxing,30.0000,120.5833,4912239
Yuncheng,35.0304,110.9980,4860000
Pingdingshan,33.7350,113.2999,4838000
Huai'an,33.5000,119.1331,4799889
Xinpu,34.5906,119.1801,4790000
Guilin,25.2667,110.2833,4747963
Huaihua,27.5494,109.9592,4741948
Jiujiang,29.7048,116.0021,4728778
Anqing,30.5000,117.0333,4723000
Huanglongsi,34.7936,114.3403,4676159
Xiaoganzhan,30.9273,113.9110,4665000
Changzhou,31.8122,119.9692,4592431
Chenzhou,25.7989,113.0267,4581778
Wuxi,31.5667,120.2833,4580000
Zibo,36.7831,118.0497,4530597
Jiaxing,30.7522,120.7500,4501657
Dalian,38.9131,121.6100,4480000
Harbin,45.7500,126.6333,4458000
Yangzhou,32.3912,119.4363,4459000
Yibin,28.7596,104.6400,4456000
Jiangmen,22.5833,113.0833,4448871
Meizhou,24.2998,116.1191,4378800
Chifeng,42.2663,118.9223,4376600
Guiyang,26.5794,106.7078,4365000
Langfang,39.5196,116.7006,4358839
Zhangjiakou,40.8108,114.8811,4345491
Linfen,36.0812,111.5087,4316610
Wenzhou,27.9991,120.6561,4310000
Luzhou,28.8918,105.4409,4291000
Jiangguanchi,34.0244,113.8201,4289000
Neijiang,29.5872,105.0635,4238000
Yanjiang,30.1256,104.6397,4217000
Yiyang,28.5833,112.3333,4174000
Zhaoqing,23.0470,112.4650,4151700
Hengshui,37.7348,115.6860,4150000
Guigang,23.0961,109.6092,4118808
Xiaoxita,30.7083,111.2803,4115000
Xiamen,24.4797,118.0819,4110000
Chuzhou,32.3062,118.3115,4110000
Fuzhou,27.9814,116.3577,4047200
Huizhou,23.1115,114.4152,3875000
Qingyuan,23.6842,113.0507,3874000
Zhuzhou,27.8407,113.1469,3855609
Wuhu,31.3340,118.3622,3842100
Hechi,23.0965,109.6091,3830000
Loudi,27.7378,111.9974,3785627
Binzhou,37.3806,118.0125,3779200
Liuzhou,24.3181,109.4069,3758704
Baojishi,34.3609,107.1751,3738700
Guang'an,30.4673,106.6336,3723000
Hanzhong,33.0794,107.0260,3700000
Zaozhuang,34.8667,117.5500,3650000
Anshan,41.1066,122.9895,3645884
Deyang,31.1289,104.3950,3636000
Lanzhou,36.0617,103.8318,3616163
Chengde,40.9739,117.9322,3610000
Puyang,35.7639,115.0300,3580000
Suining,30.5098,105.5737,3556000
Jiaozuo,35.2290,113.2304,3540101
Bengbu,32.9354,117.3531,3525000
Baicheng,23.9010,106.6194,3466758
Qincheng,34.5809,105.7311,3400000
Taiyuan,37.8733,112.5425,3398000
Chaoyang,41.5757,120.4486,3370000
Hechi,24.6928,108.0850,3369251
Leshan,29.5854,103.7575,3364000
Yulinshi,38.2655,109.7388,3328000
Siping,43.1715,124.3644,3300000
Jinan,36.6667,116.9833,3250000
Shiyan,32.6351,110.7755,3228000
Changzhi,36.1953,113.0970,3230000
Bazhou,31.8576,106.7559,3134000
Zhongshan,22.5333,113.3500,3121275
Zhenjiang,32.2109,119.4551,3113384
Urumqi,43.8250,87.6000,3112559
Tongliao,43.6172,122.2640,3094600
Heyuan,23.7503,114.6923,3093900
Tongren,27.7233,109.1885,3093204
Qinzhou,21.9500,108.6167,3079721
Xinzhou,38.4178,112.7233,3067501
Meishan,30.0575,103.8381,3020000
Jinzhou,41.1144,121.1292,3000000
Tieling,42.2841,123.8365,3000000
Shaoguan,24.8011,113.5927,2997600
Shanwei,22.7664,115.3331,2990000
Dingxi,35.5806,104.6263,2930000
Ningde,26.6667,119.5167,2910000
Daqing,46.5979,125.0080,2904532
Putian,25.4394,119.0103,2900000
Huzhou,30.8695,120.0958,2893542
Wuzhou,23.4833,111.3167,2882200
Zigong,29.3498,104.7645,2800000
Qinhuangdao,39.9398,119.5881,2800000
Mudanjiang,44.5861,129.5997,2790000
Huludao,40.7094,120.8378,2787000
Xiangtan,27.8431,112.9228,2748552
Rizhao,35.4164,119.4331,2720000
Baotou,40.6562,109.8345,2700000
Nanping,26.6448,118.1728,2690000
Longyan,25.0881,117.0244,2640000
Hohhot,40.8151,111.6629,2635000
Chaozhou,23.6700,116.6300,2620000
Longba,33.5350,105.3490,2614000
Weihai,37.5000,122.1000,2596753
Xuanzhou,30.9475,118.7518,2580000
Sanming,26.2658,117.6302,2580000
Baoshan,25.1211,99.1690,2506491
Luohe,33.5830,114.0109,2500000
Qinbaling,35.7278,107.6400,2500000
Guangyuan,32.4353,105.8398,2484122
Jilin,43.8500,126.5500,2396000
Lianshan,40.7503,120.8300,2426000
Lincang,23.8864,100.0871,2429497
Huangshi,30.2018,115.0326,2419000
Dandong,40.1167,124.3833,2400000
Huainan,32.4831,117.0164,2409000
Shangzhou,33.8680,109.9244,2400000
Jiamusi,46.8081,130.3653,2360000
