City,Latitude,Longitude,Population
Bogota,4.6126,-74.0705,9464000
Medellin,6.2447,-75.5748,2529403
Cali,3.4400,-76.5197,2471474
Barranquilla,10.9600,-74.8000,1798000
Cartagena,10.4236,-75.5253,1036412
Cucuta,7.9075,-72.5047,750000
Soledad,10.9200,-74.7700,698852
Bucaramanga,7.1186,-73.1161,581130
Pereira,4.8104,-75.6800,568750
Ibague,4.4378,-75.2006,541101
Villavicencio,4.1425,-73.6294,527668
Bello,6.3300,-75.5700,519670
Santa Marta,11.2361,-74.2017,515556
Valledupar,10.4603,-73.2597,490075
Monteria,8.7600,-75.8856,460223
Pasto,1.2136,-77.2811,382236
Manizales,5.0600,-75.5200,375848
Neiva,2.9275,-75.2875,316033
Armenia,4.5389,-75.6725,301226
Popayan,2.4411,-76.6061,300837
Sincelejo,9.2994,-75.3958,279031
Buenaventura,3.8724,-77.0505,252805
Barrancabermeja,7.0900,-73.8500,191403
Tunja,5.5403,-73.3614,179263
Riohacha,11.5442,-72.9069,167865
Tulua,4.0904,-76.2100,165501
Florencia,1.6142,-75.6117,143871
Cartago,4.7500,-75.9100,134827
Cienaga,11.0104,-74.2500,131171
Girardot,4.3100,-74.8100,130289
Quibdo,5.6923,-76.6582,130825
Sogamoso,5.7200,-72.9400,126551
Ipiales,0.8289,-77.6406,109116
Duitama,5.8305,-73.0200,101156
Magangue,9.2300,-74.7400,100313
Arauca,7.0903,-70.7617,96814
San Andres,12.5847,-81.7006,71946
San Jose del Guaviare,2.5653,-72.6386,68878
Yopal,5.3470,-72.4060,61029
Leticia,-4.2150,-69.9411,32450
Mitu,1.2503,-70.2350,28382
Mocoa,1.1500,-76.6300,22035
Puerto Carreno,6.1889,-67.4858,16763
Inirida,3.8540,-67.9061,9065
Tumaco,1.8100,-78.8100,86713
Ocana,8.2404,-73.3500,83511
Villa del Rosario,7.8353,-72.4736,69833
Sabanalarga,10.6400,-74.9200,68535
El Carmen de Bolivar,9.7204,-75.1300,60980
Garzon,2.2104,-75.6500,56603
El Banco,9.0003,-73.9800,54522
Chiquinquira,5.6204,-73.8199,53975
Pamplona,7.3904,-72.6600,53587
Lorica,9.2419,-75.8160,52771
Turbo,8.1004,-76.7400,50508
Arjona,10.2600,-75.3500,50405
Honda,5.1903,-74.7500,35469
Yarumal,7.0306,-75.5905,35315
Tuquerres,1.0900,-77.6199,33979
Puerto Berrio,6.4804,-74.4200,33983
Tame,6.4603,-71.7400,29099
Santiago de Tolu,9.5358,-75.5720,27390
Socorro,6.4603,-73.2700,24895
Ayapel,8.3304,-75.1500,23639
Campoalegre,2.6900,-75.3300,22568
San Jacinto,9.8311,-75.1219,21644
Sonson,5.7166,-75.3166,18817
Puerto Lopez,4.0900,-72.9600,16678
San Martin,3.6904,-73.6900,16273
Guapi,2.5604,-77.8600,13853
Puerto Narino,-3.7703,-70.3831,6816
Orocue,4.7946,-71.3400,2835
Nuqui,5.6852,-77.2745,2741
Jurado,7.1114,-77.7714,2351
San Vicente del Caguan,2.0704,-74.6400,1500
