City,Latitude,Longitude,Population
Havana,23.1367,-82.3589,2141652
Santiago de Cuba,20.0283,-75.8206,444851
Holguin,20.8883,-76.2558,350191
Camaguey,21.3786,-77.9186,321992
Bayamo,20.3817,-76.6428,235107
Guantanamo,20.1383,-75.2061,228436
Carlos Manuel de Cespedes,21.5767,-78.2775,224488
Santa Clara,22.4067,-79.9531,207963
Las Tunas,20.9667,-76.9500,202105
Pinar del Rio,22.4122,-83.6719,188614
Cienfuegos,22.1456,-80.4364,164924
Manzanillo,20.3397,-77.1086,150999
Matanzas,23.0494,-81.5736,145246
Ciego de Avila,21.8481,-78.7631,143449
Sancti Spiritus,21.9339,-79.4439,138504
Mayari,20.6592,-75.6781,102354
Artemisa,22.8136,-82.7633,59130
Nueva Gerona,21.8847,-82.8011,46264
San Jose de las Lajas,22.9614,-82.1511,
Jaguey Grande,22.5292,-81.1325,87771
Cardenas,23.0428,-81.2036,86700
Baracoa,20.3444,-74.4956,79797
Palma Soriano,20.2139,-75.9919,76500
Colon,22.7225,-80.9067,72000
Florida,21.5294,-78.2228,71676
Placetas,22.3158,-79.6556,71208
Gibara,21.1072,-76.1367,71126
Guines,22.8475,-82.0236,66892
Yara,20.2767,-76.9469,59415
Moron,22.1108,-78.6278,59371
Jovellanos,22.8106,-81.1981,58685
Moa,20.6397,-74.9175,57652
Sagua la Grande,22.8086,-80.0711,53077
Jobabo,20.9078,-77.2831,47350
Salvador,20.2094,-75.2231,45773
Bahia Honda,22.9064,-83.1639,43483
Mariel,22.9936,-82.7539,42500
Chambas,22.1967,-78.9133,41000
Nuevitas,21.5403,-77.2644,38995
Caibarien,22.5158,-79.4722,38479
Guira de Melena,22.8019,-82.5047,37838
Caimito,22.9575,-82.5964,36813
La Palma,22.7472,-83.5525,35346
Banes,20.9697,-75.7117,34452
San Antonio de los Banos,22.8889,-82.4989,33811
Baragua,21.6819,-78.6244,32909
Madruga,22.9164,-81.9239,30640
Alquizar,22.8067,-82.5828,29616
Quivican,22.8247,-82.3558,29253
Primero de Enero,21.9453,-78.4189,29117
San Cristobal,22.7169,-83.0511,29119
Ciro Redondo,22.0189,-78.7031,28370
San Antonio del Sur,20.0569,-74.8078,26509
Surgidero de Batabano,22.6986,-82.2939,25664
Nueva Paz,22.7667,-81.7500,24277
Bauta,22.9919,-82.5492,23557
Abreus,22.2806,-80.5678,23144
Guanajay,22.9306,-82.6881,22839
Lajas,22.4164,-80.2906,22602
San Nicolas,22.7819,-81.9069,21563
Varadero,23.1394,-81.2861,21170
Manuel Tames,20.1803,-75.0514,21237
Florencia,22.1475,-78.9669,21150
Melena del Sur,22.7814,-82.1486,20646
Candelaria,22.7439,-82.9581,19523
Najasa,21.0836,-77.7472,15579
Imias,20.0767,-74.6519,9699
Caimanera,19.9947,-75.1600,8790
