City,Latitude,Longitude,Population
Prague,50.0833,14.4167,1324277
Brno,49.1953,16.6083,381346
Ostrava,49.8356,18.2925,287968
Plzen,49.7414,13.3825,174842
Liberec,50.7700,15.0584,104802
Olomouc,49.5939,17.2508,100663
Ceske Budejovice,48.9747,14.4747,94463
Hradec Kralove,50.2092,15.8319,92939
Usti nad Labem,50.6592,14.0417,92716
Pardubice,50.0386,15.7792,91727
Zlin,49.2331,17.6669,74935
Havirov,49.7778,18.4228,71200
Teplice,50.6333,13.8167,49731
Jihlava,49.4003,15.5906,51216
Karlovy Vary,50.2306,12.8725,48479
Brevnov,50.0833,14.3579,26275
Kladno,50.1431,14.1053,69337
Most,50.5031,13.6367,66034
Opava,49.9381,17.9044,56450
Frydek-Mistek,49.6881,18.3536,55557
Karvina,49.8542,18.5428,52128
Chomutov,50.4628,13.4111,48635
Decin,50.7736,14.1961,48594
Jablonec nad Nisou,50.7278,15.1700,45773
Mlada Boleslav,50.4125,14.9064,44740
Prostejov,49.4722,17.1106,43651
Prerov,49.4556,17.4511,42871
Ceska Lipa,50.6856,14.5377,37525
Trebic,49.2150,15.8817,35451
Trinec,49.6776,18.6708,35002
Tabor,49.4145,14.6578,34277
Znojmo,48.8555,16.0488,33765
Pribram,49.6900,14.0105,32503
Kolin,50.0282,15.2006,31973
Cheb,50.0798,12.3740,31977
Pisek,49.3089,14.1475,30415
Trutnov,50.5610,15.9128,30234
Orlova,49.8452,18.4302,28735
Kromeriz,49.2979,17.3931,28620
Sumperk,49.9653,16.9707,25836
Uherske Hradiste,49.0698,17.4597,25247
Vsetin,49.3387,17.9962,25974
Litomerice,50.5336,14.1319,23849
Breclav,48.7590,16.8820,24743
Cesky Tesin,49.7461,18.6262,24297
Hodonin,48.8490,17.1324,24512
Litvinov,50.6008,13.6112,23661
Sokolov,50.1814,12.6402,23033
Novy Jicin,49.5944,18.0103,23260
Chrudim,49.9511,15.7956,23168
Havlickuv Brod,49.6079,15.5807,23442
Krnov,50.0897,17.7039,23257
Strakonice,49.2615,13.9024,22646
Valasske Mezirici,49.4718,17.9712,22306
Koprivnice,49.5995,18.1448,21851
Klatovy,49.3956,13.2951,22257
Jindrichuv Hradec,49.1441,15.0030,21419
Kutna Hora,49.9484,15.2682,20653
Zd'ar nad Sazavou,49.5627,15.9393,20717
Vyskov,49.2775,16.9990,20807
Bohumin,49.9041,18.3576,20518
Blansko,49.3632,16.6432,20484
Nachod,50.4167,16.1630,19897
Jirkov,50.4999,13.4478,19241
Melnik,50.3506,14.4742,19559
Beroun,49.9639,14.0721,19641
Brandys nad Labem-Stara Boleslav,50.1872,14.6633,19255
Zatec,50.3273,13.5459,19047
Kralupy nad Vltavou,50.2411,14.3116,18388
Louny,50.3571,13.7968,18313
Otrokovice,49.2099,17.5308,17879
Kadan,50.3761,13.2714,18246
Hranice,49.5480,17.7347,17999
Bilina,50.5486,13.7754,17200
Jicin,50.4373,15.3517,16717
Svitavy,49.7560,16.4683,16758
Benesov,49.7817,14.6870,16758
Neratovice,50.2593,14.5177,16191
Ostrov,50.3060,12.9392,16658
Roznov pod Radhostem,49.4585,18.1430,16398
Uhersky Brod,49.0251,17.6472,16441
Bruntal,49.9884,17.4648,16138
Rakovnik,50.1038,13.7335,15709
Ricany,49.9917,14.6543,15908
Slany,50.2305,14.0870,15864
Pelhrimov,49.4314,15.2234,16048
Dvur Kralove nad Labem,50.4318,15.8141,15550
Nymburk,50.1861,15.0417,15154
Varnsdorf,50.9116,14.6184,15193
Ceska Trebova,49.9019,16.4473,15384
Turnov,50.5873,15.1569,14420
Rokycany,49.7428,13.5946,14383
Podebrady,50.1425,15.1189,14377
Klasterec nad Ohri,50.3846,13.1714,14526
Usti nad Orlici,49.9739,16.3937,14280
Hlucin,49.8979,18.1920,13931
Chodov,50.2415,12.7534,13300
Zabreh,49.8826,16.8723,13456
Sternberk,49.7305,17.2989,13440
Roudnice nad Labem,50.4254,14.2618,12847
Cesky Krumlov,48.8110,14.3152,12981
As,50.2240,12.1951,13182
Tachov,49.7954,12.6337,13038
Celakovice,50.1605,14.7501,12273
Marianske Lazne,49.9647,12.7012,12795
Krupka,50.6846,13.8583,12633
Jaromer,50.3562,15.9214,12378
Vrchlabi,50.6270,15.6095,12340
Vysoke Myto,49.9532,16.1618,12288
Milovice,50.2260,14.8887,12098
Novy Bor,50.7577,14.5557,11616
Boskovice,49.4875,16.6600,11681
Holesov,49.3333,17.5783,11579
Vlasim,49.7064,14.8989,11550
Frenstat pod Radhostem,49.5483,18.2108,10837
Velke Mezirici,49.3553,16.0123,11498
Kurim,49.2985,16.5315,10993
Unicov,49.7709,17.1215,11335
Kyjov,49.0102,17.1225,11185
Domazlice,49.4406,12.9298,11094
Rumburk,50.9516,14.5571,11036
Jesenik,50.2294,17.2047,11081
Rychnov nad Kneznou,50.1629,16.2750,10999
Susice,49.2312,13.5202,11032
Veseli nad Moravou,48.9536,17.3765,10889
Humpolec,49.5416,15.3594,10970
Prachatice,49.0130,13.9975,10840
Caslav,49.9110,15.3898,10322
Litomysl,49.8721,16.3106,10378
Lanskroun,49.9122,16.6120,9906
Frydlant nad Ostravici,49.5928,18.3597,9922
Kraluv Dvur,49.9499,14.0345,9690
Jesenice,49.9682,14.5136,9682
Nove Mesto na Morave,49.5615,16.0742,10049
Prelouc,50.0399,15.5604,9880
Moravska Trebova,49.7580,16.6643,9948
Lysa nad Labem,50.2015,14.8329,9795
Hlinsko,49.7622,15.9076,9642
Ivancice,49.1015,16.3775,9760
Litovel,49.7012,17.0762,9738
Nove Mesto nad Metuji,50.3446,16.1515,9398
Tisnov,49.3487,16.4244,9258
Studenka,49.7234,18.0786,9477
Roztoky,50.1585,14.3977,8645
Lovosice,50.5151,14.0511,8840
Mohelnice,49.7770,16.9195,9234
Hostivice,50.0817,14.2586,8788
Nova Paka,50.4945,15.5151,9072
Chotebor,49.7208,15.6702,9178
Dobris,49.7812,14.1672,8960
Duchcov,50.6039,13.7463,8564
Mnichovo Hradiste,50.5273,14.9714,8846
Policka,49.7147,16.2655,8813
Chocen,50.0016,16.2231,8648
Horice,50.3661,15.6319,8533
Semily,50.6020,15.3356,8353
Pribor,49.6409,18.1450,8476
Steti,50.4531,14.3743,8695
Cerveny Kostelec,50.4763,16.0930,8360
Milevsko,49.4510,14.3600,8280
Bystrice pod Hostynem,49.3992,17.6740,8144
Rymarov,49.9318,17.2718,8181
Trebon,49.0037,14.7707,8217
Lipnik nad Becvou,49.5275,17.5863,7982
Bystrice nad Pernstejnem,49.5230,16.2615,8004
Tyn nad Vltavou,49.2235,14.4206,7960
Slapanice,49.1687,16.7273,7599
Dubi,50.6811,13.7889,7876
Sezimovo Usti,49.3853,14.6848,7221
Rychvald,49.8662,18.3763,7536
Nejdek,50.3225,12.7294,7806
Stribro,49.7530,13.0041,7738
Hradek nad Nisou,50.8529,14.8447,7735
Petrvald,49.8310,18.3894,7237
Vratimov,49.7699,18.3102,7293
Frydlant,50.9215,15.0799,7476
Broumov,50.5857,16.3319,7370
Benatky nad Jizerou,50.2909,14.8235,7459
Horovice,49.8361,13.9027,6901
Mikulov,48.8056,16.6378,7455
Bilovec,49.7564,18.0159,7394
Vimperk,49.0525,13.7743,7440
Napajedla,49.1716,17.5120,7171
Uvaly,50.0740,14.7309,6884
Moravske Budejovice,49.0521,15.8087,7300
