City,Latitude,Longitude,Population
Abidjan,5.3364,-4.0267,4980000
Yamoussoukro,6.8161,-5.2742,355573
Bouake,7.6833,-5.0331,659233
Korhogo,9.4578,-5.6294,286071
Daloa,6.8900,-6.4500,255168
San-Pedro,4.7704,-6.6400,210273
Man,7.4004,-7.5500,146974
Divo,5.8372,-5.3572,127867
Gagnoa,6.1333,-5.9333,123184
Abengourou,6.7297,-3.4964,104020
Dabou,5.3256,-4.3767,72913
Dimbokro,6.6505,-4.7100,67349
Bondoukou,8.0400,-2.8000,58297
Seguela,7.9611,-6.6731,51157
Odienne,9.5000,-7.5667,49857
Bangolo,7.0123,-7.4864,
Agboville,5.9333,-4.2167,81770
Grand-Bassam,5.2000,-3.7333,73772
Ferkessedougou,9.5928,-5.1944,62008
Bouafle,6.9903,-5.7442,60962
Guiglo,6.5436,-7.4933,39134
Toumodi,6.5520,-5.0190,39005
Sassandra,4.9504,-6.0833,38411
Aboisso,5.4667,-3.2000,37654
Touba,8.2833,-7.6833,31844
