City,Latitude,Longitude,Population
Kinshasa,-4.3317,15.3139,13528000
Kananga,-5.8970,22.4488,1971704
Lubumbashi,-11.6697,27.4581,1786397
Mbuji-Mayi,-6.1209,23.5967,1295000
Kisangani,0.5153,25.1911,935977
Kikwit,-5.0333,18.8167,637736
Bukavu,-2.5000,28.8667,436779
Likasi,-10.9833,26.7333,422535
Kolwezi,-10.7167,25.4667,418000
Beni,0.5000,29.4667,332903
Matadi,-5.8167,13.4833,306053
Mbandaka,0.0486,18.2603,274996
Tshikapa,-6.4167,20.8000,267462
Kindu,-2.9500,25.9167,262914
Butembo,0.1251,29.2990,217625
Kalemie,-5.9147,29.1939,206257
Gemena,3.2500,19.7667,198056
Mbanza-Ngungu,-5.2496,14.8600,197545
Mwene-Ditu,-7.0000,23.4500,189177
Boma,-5.8500,13.0500,178638
Uvira,-3.4044,29.1379,170391
Isiro,2.7833,27.6167,157196
Gandajika,-6.7500,23.9667,154425
Moanda,-5.9229,12.3550,153915
Goma,-1.6900,29.2200,144124
Wamba,2.1404,27.9900,146871
Kamina,-8.7300,25.0100,128803
Bandundu,-3.3100,17.3800,118211
Kipushi,-11.7600,27.2500,113347
Ilebo,-4.3167,20.6000,107093
Kongolo,-5.3795,26.9800,105202
Bumba,2.1900,22.4600,103328
Bunia,1.5604,30.2400,96764
Lisala,2.1400,21.5100,79235
Kabinda,-6.1296,24.4800,59004
Gbadolite,4.2750,21.0000,50493
Buta,2.8200,24.7400,45677
Lusambo,-4.9696,23.4300,41416
Inongo,-1.9400,18.2800,40113
Luebo,-5.3495,21.4100,35183
Boende,-0.2196,20.8600,32091
Kenge,-4.8296,16.8999,241
Lodja,-3.4900,23.4200,68244
Binga,2.3834,20.4200,64639
Kasongo,-4.4500,26.6600,63000
Idiofa,-4.9596,19.5986,61056
Aketi,2.7405,23.7800,58601
Basankusu,1.2222,19.8028,52216
Mweka,-4.8519,21.5594,50675
Kahemba,-7.2829,19.0000,50000
Bulungu,-4.5496,18.6000,48344
Manono,-7.2947,27.4545,46111
Basoko,1.2333,23.6000,43709
Lubao,-5.3896,25.7500,43068
Tshela,-4.9696,12.9300,38845
Bukama,-9.2000,25.8333,38770
Mangai,-4.0396,19.5300,37188
Kampene,-3.5968,26.6671,37034
Kambove,-10.8700,26.6000,36702
Kaniama,-7.5696,24.1700,36481
Yangambi,0.7675,24.4414,35531
Businga,3.3404,20.8700,34247
Mushie,-3.0196,16.9200,33062
Kabalo,-6.0500,26.9100,29833
Kasangulu,-4.5796,15.1800,27961
Bolobo,-2.1600,16.2400,27862
Libenge,3.6604,18.6200,27053
Watsa,3.0400,29.5300,24516
Bondo,3.8100,23.6700,23517
Demba,-5.5096,22.2600,22263
Kasongo-Lunda,-6.4796,16.8300,20060
Zongo,4.3500,18.6000,17667
Nyunzu,-5.9500,28.0167,15397
Bosobolo,4.1904,19.8800,14553
Kasaji,-10.3662,23.4500,11969
Kimpese,-5.5500,14.4300,10578
Moba,-7.0596,29.7200,10006
Dilolo,-10.6833,22.3333,7854
Mangbwalu,1.9504,30.0333,2819
Ikela,-1.1833,23.2667,291
Bongandanga,1.5104,21.0500,4105
Mwenga,-3.0382,28.4325,2216
Lubutu,-0.7329,26.5833,1313
Buluko,-0.7570,28.5280,1192
Luanza,-8.6996,28.7000,861
Dibaya,-6.5095,22.8700,603
Kalima,-2.5096,26.4300,194
Lusanga,-5.5829,16.5167,177
Bafwasende,1.0838,27.2666,149
