City,Latitude,Longitude,Population
Santo Domingo,18.4764,-69.8933,2581827
Santiago,19.5000,-70.6700,1550753
La Vega,19.2242,-70.5283,220279
San Pedro de Macoris,18.4504,-69.3000,217899
La Romana,18.4170,-68.9666,208437
San Francisco de Macoris,19.3000,-70.2500,174879
San Cristobal,18.4160,-70.1090,154040
Barahona,18.2079,-71.0996,138159
Higuey,18.6160,-68.7080,123787
Puerto Plata,19.7902,-70.6902,119897
San Juan,18.8070,-71.2290,72950
Azua,18.4540,-70.7290,59139
Mao,19.5520,-71.0750,48297
Santo Domingo Este,18.4885,-69.8571,
Cotui,19.0600,-70.1500,79596
Bonao,18.9420,-70.4090,73269
Bani,18.2800,-70.3310,66709
Moca,19.3970,-70.5230,61834
Dajabon,19.5667,-71.7100,62046
Salcedo,19.3830,-70.4167,45299
Pantanal,18.5103,-68.3694,43982
Comendador,18.8760,-71.7070,43894
Hato Mayor,18.7640,-69.2570,35999
Nagua,19.3760,-69.8470,33862
Neiba,18.4666,-71.4166,25731
El Seibo,18.7640,-69.0350,23547
Monte Cristi,19.8670,-71.6500,17001
Sabaneta,19.5050,-71.3450,16380
Monte Plata,18.8070,-69.7840,15532
Samana,19.2120,-69.3320,11432
Jimani,18.4833,-71.8500,11414
Pedernales,18.0380,-71.7410,11072
Bavaro,18.7170,-68.4500,795
