City,Latitude,Longitude,Population
Guayaquil,-2.1833,-79.8833,2723665
Quito,-0.2186,-78.5097,2011388
Cuenca,-2.8974,-79.0045,329928
Santo Domingo de los Colorados,-0.2542,-79.1719,270875
Machala,-3.2667,-79.9667,231260
Manta,-0.9500,-80.7162,217553
Portoviejo,-1.0544,-80.4544,206682
Loja,-3.9906,-79.2050,170280
Ambato,-1.2417,-78.6197,165185
Esmeraldas,0.9500,-79.6667,154035
Quevedo,-1.0333,-79.4500,150827
Riobamba,-1.6743,-78.6483,146324
Milagro,-2.1347,-79.5872,133508
Ibarra,0.3628,-78.1300,131856
Babahoyo,-1.8167,-79.5167,90191
Latacunga,-0.9333,-78.6167,63842
Tulcan,0.8117,-77.7186,53558
Nueva Loja,0.0844,-76.8911,48562
Puerto Francisco de Orellana,-0.4625,-76.9842,40730
Santa Elena,-2.2267,-80.8583,39681
Azogues,-2.7333,-78.8333,33848
Puyo,-1.4830,-77.9870,24881
Guaranda,-1.6056,-79.0031,23874
Tena,-0.9890,-77.8159,23307
Macas,-2.3000,-78.1167,18984
Puerto Ayora,-0.7444,-90.3139,11822
Zamora,-4.0692,-78.9567,12386
Puerto Baquerizo Moreno,-0.9025,-89.6092,6533
Sangolqui,-0.3344,-78.4475,75080
Pelileo,-1.3306,-78.5428,66836
Daule,-1.8667,-79.9833,65145
Pasaje,-3.3269,-79.8049,52673
Chone,-0.6833,-80.1000,52810
Santa Rosa,-3.4522,-79.9617,48929
Huaquillas,-3.4803,-80.2317,47706
Montecristi,-1.0500,-80.6667,46312
Samborondon,-1.9611,-79.7256,42637
Jipijapa,-1.3486,-80.5786,40232
Otavalo,0.2333,-78.2667,39354
Cayambe,0.0439,-78.1561,39028
Ventanas,-1.4500,-79.4700,38168
San Jacinto de Buena Fe,-0.8932,-79.4907,38263
Salinas,-2.2083,-80.9681,34719
Velasco Ibarra,-1.0439,-79.6383,35686
La Troncal,-2.4278,-79.3389,35259
Vinces,-1.5500,-79.7333,30241
La Concordia,0.0069,-79.3958,29003
Rosa Zarate,0.3272,-79.4689,28928
Balzar,-1.3600,-79.9000,28794
Naranjito,-2.1667,-79.4653,28546
Naranjal,-2.6736,-79.6183,28487
La Mana,-0.9417,-79.2347,23775
San Lorenzo de Esmeraldas,1.2864,-78.8353,23265
Catamayo,-3.9833,-79.3500,22697
Atuntaqui,0.3325,-78.2136,21286
Pedernales,0.0719,-80.0508,21910
Bahia de Caraquez,-0.6000,-80.4250,20921
Puerto Quito,0.1272,-79.2531,20445
Pedro Carbo,-1.8167,-80.2333,20220
Yaguachi Nuevo,-2.1200,-79.6900,17806
Pinas,-3.6806,-79.6806,16981
Valencia,-0.9525,-79.3531,16983
San Gabriel,0.6100,-77.8400,16066
Atacames,0.8667,-79.8333,15463
Alausi,-2.1900,-78.8500,14294
Lomas de Sargentillo,-1.8833,-80.0833,13775
Muisne,0.6100,-80.0200,13393
Banos,-1.3964,-78.4247,12995
Macara,-4.3833,-79.9500,13035
San Miguel de Salcedo,-1.0500,-78.5833,12488
Valdez,1.2671,-78.9855,11441
Santa Cruz,-0.5333,-90.3500,11262
Tosagua,-0.7864,-80.2342,10751
Pillaro,-1.1667,-78.5333,7444
Pedro Vicente Maldonado,0.0853,-79.0511,5561
Puerto Villamil,-0.9333,-91.0167,2200
Yaupi,-2.8543,-77.9363,293
