City,Latitude,Longitude,Population
San Salvador,13.6989,-89.1914,567698
Usulutan,13.3500,-88.4500,378606
Santa Ana,13.9833,-89.5333,270413
San Miguel,13.4833,-88.1833,218410
Sonsonate,13.7200,-89.7300,168947
Santa Tecla,13.6740,-89.2900,124694
Ahuachapan,13.9214,-89.8450,110511
Cojutepeque,13.7167,-88.9333,48411
Zacatecoluca,13.5080,-88.8680,39613
San Vicente,13.6410,-88.7850,37326
Chalatenango,14.0720,-89.0940,29271
Sensuntepeque,13.8800,-88.6300,26989
La Union,13.3320,-87.8390,26807
San Francisco,13.7000,-88.1000,16152
