City,Latitude,Longitude,Population
Tallinn,59.4372,24.7450,434562
Tartu,58.3800,26.7225,93865
Parnu,58.3844,24.4989,39438
Viljandi,58.3633,25.5956,17407
Rakvere,59.3506,26.3611,15189
Kuressaare,58.2533,22.4861,13097
Valga,57.7769,26.0311,12182
Voru,57.8486,26.9928,11859
Johvi,59.3575,27.4122,10541
Haapsalu,58.9469,23.5369,9675
Paide,58.8833,25.5667,7905
Jogeva,58.7461,26.3956,5073
Polva,58.0536,27.0556,5324
Rapla,58.9944,24.8011,5069
Kardla,58.9944,22.7500,3230
Narva,59.3792,28.2006,57130
Kohtla-Jarve,59.4000,27.2833,35928
Maardu,59.4781,25.0161,17141
Sillamae,59.3931,27.7742,13964
Keila,59.3081,24.4264,9758
Saue,59.3231,24.5622,5631
Elva,58.2275,26.4158,5669
Tapa,59.2644,25.9628,5706
Kivioli,59.3517,26.9611,5504
Turi,58.8094,25.4292,5257
