City,Latitude,Longitude,Population
Addis Ababa,9.0272,38.7369,3041002
Nazret,8.5500,39.2700,476892
Gonder,12.6000,37.4667,323900
Mekele,13.4833,39.4667,323700
Awasa,7.0500,38.4667,300100
Dire Dawa,9.5833,41.8667,277000
Bahir Dar,11.5850,37.3900,243300
Dese,11.1333,39.6333,187900
Jima,7.6667,36.8333,177900
Harar,9.3200,42.1500,174994
Jijiga,9.3500,42.8000,159300
Shashemene,7.2004,38.5900,114350
Giyon,8.5304,37.9700,114534
Asela,7.9500,39.1167,110088
Adigrat,14.2667,39.4500,76400
Nek'emte,9.0905,36.5300,73018
Debre Mark'os,10.3400,37.7200,70758
Arba Minch',6.0400,37.5500,69622
Aksum,14.1284,38.7173,66800
Debre Birhan,9.6804,39.5300,65231
Hagere Hiywet,8.9833,37.8500,43920
Goba,7.0100,39.9700,34369
Asosa,10.0667,34.5167,20226
Negele,5.3166,39.5833,11772
Gambela,8.2500,34.5833,
Semera,11.7956,41.0086,
Debre Zeyit,8.7500,38.9833,99928
Hosa'ina,7.5504,37.8500,89300
Gode,5.9500,43.4500,75000
Sodo,6.9000,37.7500,65737
Dila,6.4104,38.3100,47021
Yirga `Alem,6.7504,38.4100,36292
Gimbi,9.1667,35.8333,31809
Dembi Dolo,8.5333,34.8000,27780
Adet,11.2667,37.4833,21117
Welench'iti,8.6667,39.4333,20984
Bati,11.1833,40.0167,20536
Bichena,10.4500,38.2000,19916
Lalibela,12.0325,39.0433,14668
Dolo Bay,4.1833,42.0833,11810
Gore,8.1490,35.5370,9352
Gewane,10.1664,40.6453,8408
