City,Latitude,Longitude,Population
Helsinki,60.1756,24.9342,642045
Espoo,60.2100,24.6600,269802
Tampere,61.4981,23.7608,225118
Vantaa,60.3000,25.0333,214605
Oulu,65.0142,25.4719,200526
Turku,60.4517,22.2700,187604
Jyvaskyla,62.2333,25.7333,137368
Lahti,60.9833,25.6556,118119
Kuopio,62.8925,27.6783,112117
Kouvola,60.8681,26.7042,85855
Pori,61.4847,21.7972,85363
Joensuu,62.6000,29.7639,75514
Lappeenranta,61.0583,28.1861,72875
Hameenlinna,61.0000,24.4414,68011
Vaasa,63.1000,21.6167,67619
Rovaniemi,66.5014,25.7347,61763
Seinajoki,62.7903,22.8403,61530
Mikkeli,61.6875,27.2736,54665
Kokkola,63.8333,23.1333,47570
Kajaani,64.2250,27.7333,37622
Mariehamn,60.0986,19.9444,11461
Kotka,60.4667,26.9458,54319
Salo,60.3831,23.1331,53890
Porvoo,60.3931,25.6639,49928
Lohja,60.2500,24.0667,47353
Hyvinkaa,60.6306,24.8597,46463
Nurmijarvi,60.4667,24.8083,42709
Jarvenpaa,60.4722,25.0889,40106
Rauma,61.1167,21.5000,39809
Kerava,60.4028,25.1000,35293
Savonlinna,61.8667,28.8831,35523
Nokia,61.4778,23.5097,33322
Kaarina,60.4069,22.3722,32590
Ylojarvi,61.5500,23.5833,32738
Riihimaki,60.7333,24.7667,29269
Imatra,61.1931,28.7764,27835
Sastamala,61.3417,22.9083,25220
Raahe,64.6847,24.4792,25165
Raisio,60.4861,22.1694,24290
Kemi,65.7361,24.5639,21758
Iisalmi,63.5611,27.1889,21945
Tornio,65.8486,24.1472,21928
Kurikka,62.6167,22.4000,21734
Jamsa,61.8639,25.1903,21542
Valkeakoski,61.2667,24.0306,21332
Varkaus,62.3167,27.8833,21155
Hamina,60.5697,27.1981,20851
Aanekoski,62.6042,25.7264,19919
Jakobstad,63.6667,22.7000,19436
Heinola,61.2028,26.0319,19575
Naantali,60.4681,22.0264,18916
Pieksamaki,62.3000,27.1583,18220
Forssa,60.8167,23.6167,17422
Toijala,61.1667,23.8681,17043
Kauhava,63.1014,23.0639,16784
Loimaa,60.8514,23.0583,16467
Orimattila,60.8042,25.7333,16326
Kuusamo,65.9667,29.1667,15688
Uusikaupunki,60.7833,21.4167,15510
Pargas,60.3000,22.3000,15457
Lovisa,60.4569,26.2250,15311
Ylivieska,64.0722,24.5375,15039
Ekenas,59.9750,23.4361,14784
Lapua,62.9708,23.0069,14609
Kauhajoki,62.4319,22.1794,13875
Ulvila,61.4292,21.8750,13237
Kalajoki,64.2597,23.9486,12621
Alavus,62.5861,23.6194,12044
Kankaanpaa,61.8042,22.3944,11769
Lieksa,63.3167,30.0167,11772
Nivala,63.9292,24.9778,10876
Kitee,62.0986,30.1375,10832
Paimio,60.4569,22.6861,10620
Kauniainen,60.2097,24.7264,9486
Huittinen,61.1764,22.6986,10473
Keuruu,62.2597,24.7069,10117
Alajarvi,63.0000,23.8167,10006
Saarijarvi,62.7056,25.2569,9915
Orivesi,61.6778,24.3569,9408
Narpes,62.4736,21.3375,9387
Somero,60.6292,23.5139,9093
Karkkila,60.5347,24.2097,8969
Sodankyla,67.4171,26.6000,8942
Hanko,59.8236,22.9681,8864
Kuhmo,64.1250,29.5167,8806
Kiuruvesi,63.6528,26.6194,8600
Laitila,60.8792,21.6931,8520
Pudasjarvi,65.3583,27.0000,8257
Nurmes,63.5444,29.1333,7996
Kemijarvi,66.7167,27.4333,7766
Oulainen,64.2667,24.8167,7610
Kokemaki,61.2556,22.3486,7591
Nykarleby,63.5167,22.5333,7564
Haapajarvi,63.7486,25.3181,7438
Suonenjoki,62.6250,27.1222,7390
Harjavalta,61.3139,22.1417,7296
Ikaalinen,61.7694,23.0681,7207
Haapavesi,64.1375,25.3667,7167
Outokumpu,62.7250,29.0167,7139
Virrat,62.2403,23.7708,7002
Kristinestad,62.2736,21.3778,6793
Parkano,62.0097,23.0250,6766
Viitasaari,63.0750,25.8597,6666
Ahtari,62.5500,24.0694,6068
Suolahti,62.5639,25.8528,5747
Kannus,63.9000,23.9167,5520
Pyhajarvi,63.6833,25.9833,5505
