City,Latitude,Longitude,Population
Paris,48.8566,2.3522,11020000
Nice,43.7034,7.2663,1006402
Toulouse,43.6045,1.4440,968638
Marseille,43.2964,5.3700,870018
Rennes,48.1147,-1.6794,727357
Grenoble,45.1715,5.7224,687985
Nantes,47.2181,-1.5528,633690
Montpellier,43.6119,3.8772,607896
Lyon,45.7600,4.8400,516092
Rouen,49.4428,1.0886,494382
Strasbourg,48.5833,7.7458,465069
Nancy,48.6936,6.1846,434565
Metz,49.1203,6.1778,391187
Brest,48.3900,-4.4900,300300
Mulhouse,47.7500,7.3400,285121
Orleans,47.9025,1.9090,282828
Limoges,45.8353,1.2625,283823
Bordeaux,44.8400,-0.5800,257804
Lille,50.6278,3.0583,232787
Le Havre,49.4900,0.1000,235218
Reims,49.2628,4.0347,182460
Toulon,43.1258,5.9306,171953
Saint-Etienne,45.4347,4.3903,172565
Dijon,47.3167,5.0167,156920
Villeurbanne,45.7667,4.8803,147712
Angers,47.4736,-0.5542,152960
Nimes,43.8380,4.3610,151001
Clermont-Ferrand,45.7831,3.0824,143886
Le Mans,48.0077,0.1984,142946
Aix-en-Provence,43.5263,5.4454,142482
Boulogne-Billancourt,48.8352,2.2409,120071
Tours,47.2436,0.6892,135787
Amiens,49.8920,2.2990,136105
Boulogne-sur-Mer,50.7264,1.6147,133062
Annecy,45.9160,6.1330,126924
Montreuil,48.8611,2.4436,109897
Perpignan,42.6986,2.8956,120158
Saint-Denis,48.9356,2.3539,111135
Besancon,47.2400,6.0200,115934
Belfort,47.6400,6.8500,114445
Argenteuil,48.9500,2.2500,110210
Caen,49.1800,-0.3700,105354
Roubaix,50.6901,3.1817,100000
Courbevoic,48.8978,2.2531,81719
Tourcoing,50.7239,3.1612,97368
Nanterre,48.8988,2.1969,95105
Vitry-sur-Seine,48.7875,2.3928,93557
Creteil,48.7911,2.4628,90605
Aubervilliers,48.9131,2.3831,86375
Colombes,48.9236,2.2522,85177
Levallois-Perret,48.8950,2.2872,64379
Aulnay-sous-Bois,48.9386,2.4906,85740
Poitiers,46.5800,0.3400,88291
Versailles,48.8053,2.1350,85862
Carrieres-sur-Seine,48.9108,2.2889,85191
Issy-les-Moulineaux,48.8239,2.2700,68451
Champigny-sur-Marne,48.8172,2.5156,77630
Saint-Ouen,48.9123,2.3342,51108
Clichy,48.9044,2.3064,61070
Rueil-Malmaison,48.8760,2.1810,78152
Saint-Maur-des-Fosses,48.7994,2.4997,74859
Drancy,48.9300,2.4500,71318
Pau,43.3000,-0.3700,77130
La Rochelle,46.1591,-1.1517,75735
Cannes,43.5513,7.0128,73868
Calais,50.9481,1.8564,73911
Montrouge,48.8172,2.3219,50260
Antibes,43.5808,7.1239,72999
Vincennes,48.8478,2.4392,49891
Neuilly-sur-Seine,48.8881,2.2686,60361
Noisy-le-Grand,48.8478,2.5528,68183
Ivry-sur-Seine,48.8078,2.3747,62052
Ajaccio,41.9267,8.7369,70659
Courcouronnes,48.6239,2.4294,67967
Venissieux,45.6978,4.8867,65894
Cergy,49.0361,2.0631,65177
Antony,48.7539,2.2975,62570
Pantin,48.8966,2.4017,57482
Epinay-sur-Seine,48.9553,2.3092,55084
La Seyne-sur-Mer,43.1000,5.8830,63936
Troyes,48.2997,4.0792,61652
Villejuif,48.7919,2.3636,54753
Maisons-Alfort,48.8058,2.4378,55655
Sarcelles,48.9956,2.3808,58587
Bondy,48.9022,2.4828,53353
Le Blanc-Mesnil,48.9387,2.4614,56783
Cherbourg,49.6504,-1.6500,60991
Fontenay-sous-Bois,48.8517,2.4772,52939
Suresnes,48.8700,2.2200,49145
Bobigny,48.9106,2.4397,53640
Chambery,45.5700,5.9118,58919
Lorient,47.7500,-3.3600,57149
Puteaux,48.8850,2.2389,44645
Clamart,48.8014,2.2628,52971
Sevran,48.9333,2.5333,51016
Chelles,48.8833,2.6000,54917
