City,Latitude,Longitude,Population
Libreville,0.3901,9.4544,797003
Port-Gentil,-0.7167,8.7833,116836
Oyem,1.6000,11.5667,60685
Franceville,-1.6333,13.5833,42967
Lambarene,-0.6883,10.2319,25310
Mouila,-1.8667,11.0550,22469
Tchibanga,-2.9331,10.9831,19365
Makokou,0.5667,12.8667,17070
Koulamoutou,-1.1333,12.4833,16222
Moanda,-1.5655,13.2000,30151
Bitam,2.0833,11.4833,17637
Mitzic,0.7833,11.5667,4111
Mayumba,-3.4167,10.6500,3996
Gamba,-2.6500,10.0000,9928
Okondja,-0.6829,13.7833,7155
Ndende,-2.3829,11.3833,6200
Mekambo,1.0171,13.9333,3170
Omboue,-1.5662,9.2500,1667
Bifoun,-0.3329,10.3832,134
