City,Latitude,Longitude,Population
Berlin,52.5167,13.3833,3644826
Hamburg,53.5500,10.0000,1841179
Munich,48.1372,11.5755,1471508
Cologne,50.9422,6.9578,1085664
Frankfurt,50.1136,8.6797,753056
Bremen,53.1153,8.7975,724909
Stuttgart,48.7761,9.1775,634830
Dusseldorf,51.2311,6.7724,619294
Dortmund,51.5139,7.4653,587010
Essen,51.4508,7.0131,583109
Dresden,51.0493,13.7384,555805
Leipzig,51.3500,12.3833,542529
Hannover,52.3744,9.7386,538068
Nuremberg,49.4528,11.0778,518365
Duisburg,51.4322,6.7611,498590
Bochum,51.4833,7.2167,364628
Wuppertal,51.2667,7.1833,354382
Bielefeld,52.0167,8.5333,333786
Bonn,50.7339,7.0997,327258
Munster,51.9625,7.6256,314319
Karlsruhe,49.0167,8.4000,313092
Mannheim,49.4878,8.4661,309370
Augsburg,48.3717,10.8983,295135
Wiesbaden,50.0825,8.2400,278342
Gelsenkirchen,51.5167,7.1000,260654
Monchengladbach,51.2000,6.4333,261454
Kiel,54.3233,10.1394,247548
Braunschweig,52.2692,10.5211,248292
Aachen,50.7762,6.0838,247380
Chemnitz,50.8333,12.9167,245403
Halle,51.4828,11.9697,239257
Magdeburg,52.1278,11.6292,238697
Freiburg im Breisgau,47.9947,7.8497,230241
Krefeld,51.3333,6.5667,227020
Lubeck,53.8697,10.6864,217198
Oberhausen,51.4699,6.8514,210829
Rostock,54.0833,12.1333,208886
Erfurt,50.9787,11.0328,203254
Kassel,51.3158,9.4979,201585
Hagen,51.3594,7.4750,188814
Mainz,50.0000,8.2711,184997
Saarbrucken,49.2333,7.0000,180741
Hamm,51.6667,7.8167,179111
Potsdam,52.4000,13.0667,178089
Ludwigshafen,49.4811,8.4353,171061
Mulheim,51.4283,6.8789,170880
Oldenburg,53.1439,8.2139,168210
Osnabruck,52.2789,8.0431,164748
Leverkusen,51.0333,6.9833,163838
Heidelberg,49.4122,8.7100,160355
Solingen,51.1667,7.0833,159360
Darmstadt,49.8667,8.6500,159207
Herne,51.5426,7.2190,156374
Neuss,51.2003,6.6939,153796
Regensburg,49.0167,12.0833,152610
Paderborn,51.7167,8.7667,150580
Ingolstadt,48.7636,11.4261,136981
Furth,49.4783,10.9903,127748
Wurzburg,49.7944,9.9294,127880
Ulm,48.3984,9.9916,126329
Heilbronn,49.1404,9.2180,125960
Pforzheim,48.8950,8.7050,125542
Wolfsburg,52.4231,10.7872,124151
Gottingen,51.5339,9.9356,119801
Bottrop,51.5232,6.9253,117383
Reutlingen,48.4833,9.2167,115966
Koblenz,50.3597,7.5978,114024
Bremerhaven,53.5500,8.5833,113634
Recklinghausen,51.6167,7.2000,112267
Erlangen,49.5964,11.0044,111962
Bergisch Gladbach,50.9917,7.1367,111966
Remscheid,51.1906,7.2247,110994
Jena,50.9272,11.5864,111407
Trier,49.7567,6.6414,110636
Moers,51.4592,6.6197,103725
Salzgitter,52.1503,10.3593,104948
Siegen,50.8756,8.0167,102836
Hildesheim,52.1500,9.9500,101990
Gutersloh,51.9000,8.3833,100194
Cottbus,51.7606,14.3342,100219
Kaiserslautern,49.4447,7.7689,100030
Schwerin,53.6333,11.4167,95818
Ludwigsburg,48.8975,9.1919,93499
Esslingen,48.7406,9.3108,93542
Gladbeck,51.5713,6.9827,75687
Hilden,51.1714,6.9394,55764
Elmshorn,53.7547,9.6536,49883
Pinneberg,53.6591,9.8009,43280
Kornwestheim,48.8597,9.1850,33803
Weingarten,47.8078,9.6417,24943
Wolfratshausen,47.9133,11.4278,18836
Eppelheim,49.4011,8.6297,15177
Asperg,48.9064,9.1414,13480
Steinbach am Taunus,50.1678,8.5719,10682
Weissenthurm,50.4144,7.4606,9115
Eichwalde,52.3667,13.6167,6468
Witten,51.4333,7.3333,96563
Hanau,50.1328,8.9169,96023
Gera,50.8782,12.0824,94152
Iserlohn,51.3833,7.6667,92666
Duren,50.8000,6.4833,90733
Flensburg,54.7819,9.4367,90164
Tubingen,48.5200,9.0556,90546
Zwickau,50.7189,12.4961,89540
Giessen,50.5833,8.6667,88546
Ratingen,51.3000,6.8500,87297
Lunen,51.6167,7.5167,86449
Konstanz,47.6633,9.1753,84760
Villingen-Schwenningen,48.0603,8.4586,85181
Marl,51.6667,7.1167,83941
Worms,49.6319,8.3653,83330
Velbert,51.3400,7.0416,81984
Minden,52.2883,8.9167,81682
Dessau-Rosslau,51.8333,12.2333,81237
Neumunster,54.0714,9.9900,79487
Norderstedt,53.7064,10.0103,79159
Bamberg,49.8917,10.8917,77592
Delmenhorst,53.0506,8.6317,77607
Viersen,51.2556,6.3917,76905
Marburg,50.8167,8.7667,76851
Wilhelmshaven,53.5167,8.1333,76097
Rheine,52.2833,7.4333,76107
Troisdorf,50.8161,7.1556,74903
Bayreuth,49.9481,11.5783,74657
Luneburg,53.2525,10.4144,75351
Dorsten,51.6600,6.9642,74736
Castrop-Rauxel,51.5500,7.3167,73425
Detmold,51.9378,8.8833,74388
Arnsberg,51.3967,8.0644,73628
Ludenscheid,51.2198,7.6273,72611
Landshut,48.5397,12.1508,72404
Brandenburg,52.4117,12.5561,72124
Bocholt,51.8333,6.6167,71099
Aschaffenburg,49.9757,9.1478,70527
Celle,52.6256,10.0825,69602
Kempten,47.7333,10.3167,68907
Fulda,50.5528,9.6775,68586
Dinslaken,51.5667,6.7333,67525
Aalen,48.8372,10.0936,68456
Lippstadt,51.6667,8.3500,67901
Herford,52.1146,8.6734,66608
Kerpen,50.8719,6.6961,66206
Sindelfingen,48.7133,9.0028,64858
Weimar,50.9833,11.3167,65090
Plauen,50.4950,12.1383,64931
Neuwied,50.4286,7.4614,64574
Dormagen,51.0964,6.8400,64335
Rosenheim,47.8561,12.1289,63324
Neubrandenburg,53.5569,13.2608,64086
Grevenbroich,51.0883,6.5875,63620
Herten,51.6000,7.1333,61791
Bergheim,50.9667,6.6500,61612
Coburg,50.2666,10.9666,61054
Friedrichshafen,47.6542,9.4792,60865
Schwabisch Gmund,48.8000,9.8000,61186
Garbsen,52.4183,9.5981,60754
Hurth,50.8775,6.8761,60189
Stralsund,54.3000,13.0833,59421
Wesel,51.6586,6.6178,60357
Greifswald,54.0833,13.3833,59382
Offenburg,48.4708,7.9408,59646
Langenfeld,51.1167,6.9500,58927
Neu-Ulm,48.3833,10.0000,58707
Unna,51.5347,7.6889,58633
Goppingen,48.7025,9.6528,57558
Euskirchen,50.6597,6.7917,57975
Frankfurt (Oder),52.3500,14.5500,57873
Hameln,52.1031,9.3600,57510
Sankt Augustin,50.7700,7.1867,55767
Stolberg,50.7667,6.2333,56792
Gorlitz,51.1528,14.9872,56324
Eschweiler,50.8167,6.2833,56385
Meerbusch,51.2667,6.6667,56189
Waiblingen,48.8303,9.3169,55449
Schweinfurt,50.0500,10.2333,54032
Baden-Baden,48.7619,8.2408,55123
Langenhagen,52.4394,9.7400,54631
Hattingen,51.3992,7.1858,54562
Bad Homburg,50.2292,8.6105,54248
Pulheim,51.0000,6.8000,54071
Lingen,52.5233,7.3172,54422
Bad Salzuflen,52.0875,8.7506,54127
Nordhorn,52.4333,7.0667,53403
Wetzlar,50.5667,8.5000,52954
Frechen,50.9167,6.8167,52473
Neustadt,49.3500,8.1500,53148
Passau,48.5667,13.4667,52469
Ahlen,51.7633,7.8911,52582
Wolfenbuttel,52.1622,10.5369,52174
Ibbenburen,52.2778,7.7167,51904
Kleve,51.7900,6.1400,51845
Bad Kreuznach,49.8469,7.8669,50948
Speyer,49.3194,8.4311,50378
Boblingen,48.6833,9.0000,50155
Willich,51.2631,6.5492,50592
Gummersbach,51.0333,7.5667,50688
Ravensburg,47.7831,9.6114,50623
Goslar,51.9060,10.4292,50753
Rastatt,48.8572,8.2031,49783
Lorrach,47.6156,7.6614,49347
Peine,52.3203,10.2336,49952
Emden,53.3669,7.2061,49913
Erftstadt,50.8167,6.7667,49801
Heidenheim,48.6761,10.1544,49526
Bergkamen,51.6167,7.6333,48725
Leonberg,48.8014,9.0131,48733
Frankenthal,49.5333,8.3500,48561
Bad Oeynhausen,52.2000,8.8000,48702
Freising,48.4028,11.7489,48634
Rheda-Wiedenbruck,51.8417,8.3000,48505
Bornheim,50.7592,7.0050,48326
Dachau,48.2603,11.4342,47400
Gronau,52.2125,7.0417,48072
Cuxhaven,53.8667,8.7000,48358
Alsdorf,50.8744,6.1615,47018
Straubing,48.8772,12.5758,47794
Soest,51.5711,8.1092,47460
Stade,53.6008,9.4764,47533
Herzogenrath,50.8667,6.1000,46402
Fellbach,48.8086,9.2758,45671
Oberursel,50.2028,8.5769,46248
Landau,49.1994,8.1231,46677
Schwerte,51.4458,7.5653,46340
Neunkirchen,49.3448,7.1799,46469
Filderstadt,48.6667,9.2167,45813
Dulmen,51.8308,7.2783,46590
Hof,50.3167,11.9167,45930
Melle,52.2031,8.3361,46493
Gotha,50.9489,10.7183,45733
Bunde,52.2000,8.6000,45521
Wittenberg,51.8671,12.6484,46008
Weinheim,49.5561,8.6697,45284
Erkrath,51.2239,6.9147,44384
Rodgau,50.0256,8.8841,45202
Albstadt,48.2119,9.0239,45327
Bruhl,50.8333,6.9000,44397
Bruchsal,49.1333,8.6000,44644
Kaufbeuren,47.8800,10.6225,43893
Falkensee,52.5583,13.0917,43838
Oranienburg,52.7544,13.2369,44512
Kaarst,51.2278,6.6273,43433
Bietigheim-Bissingen,48.9667,9.1333,43093
Memmingen,47.9878,10.1811,43837
Neustadt am Rubenberge,52.5055,9.4636,44282
Lehrte,52.3725,9.9769,43999
Kamen,51.5917,7.6653,42971
Erkelenz,51.0800,6.3156,43364
Wismar,53.8925,11.4650,42550
Siegburg,50.8014,7.2044,41463
Nettetal,51.3167,6.2833,42493
Gifhorn,52.4886,10.5464,42519
Dreieich,50.0189,8.6961,42091
Borken,51.8439,6.8583,42530
Amberg,49.4444,11.8483,41970
Eisenach,50.9747,10.3244,42370
Laatzen,52.3077,9.8133,41422
Heinsberg,51.0631,6.0964,41946
Homburg,49.3167,7.3333,41811
Ansbach,49.3000,10.5833,41847
Germering,48.1333,11.3667,40389
Aurich,53.4714,7.4836,41991
Nordhausen,51.5050,10.7911,41791
