City,Latitude,Longitude,Population
Accra,5.6037,-0.1870,2291352
Kumasi,6.6833,-1.6167,2069350
Tamale,9.4075,-0.8533,466723
Sekondi,4.9433,-1.7040,286248
Obuase,6.2000,-1.6833,180460
Tema,5.6667,-0.0167,161612
Cape Coast,5.1000,-1.2500,143015
Koforidua,6.1000,-0.2667,127334
Ho,6.6114,0.4703,83715
Wa,10.0667,-2.5000,78107
Sunyani,7.3360,-2.3360,70299
Bolgatanga,10.7856,-0.8514,66685
Techiman,7.5905,-1.9395,
Sefwi Wiawso,6.2058,-2.4894,
Goaso,6.8036,-2.5172,
Dambai,8.0662,0.1795,
Nalerigu,10.5273,-0.3698,
Damongo,9.0830,-1.8188,
Bawku,11.0600,-0.2422,73594
Aflao,6.1188,1.1946,66546
Nkawkaw,6.5505,-0.7800,62667
Hohoe,7.1490,0.4746,56202
Berekum,7.4504,-2.5900,46287
Winneba,5.3500,-0.6333,44254
Yendi,9.4337,-0.0167,42972
