City,Latitude,Longitude,Population
Athens,37.9794,23.7161,664046
Piraeus,37.9500,23.7000,466065
Thessaloniki,40.6333,22.9500,315196
Patra,38.2500,21.7333,167446
Peristeri,38.0167,23.6833,139981
Larisa,39.6385,22.4131,144651
Irakleio,35.3333,25.1333,140730
Kallithea,37.9500,23.7000,100641
Nikaia,37.9667,23.6333,89380
Glyfada,37.8800,23.7533,87305
Volos,39.3611,22.9425,86046
Nea Ionia,38.0333,23.7500,67134
Chalandri,38.0167,23.8000,74192
Ioannina,39.6647,20.8519,65574
Rodos,36.4412,28.2225,56969
Chania,35.5167,24.0167,53910
Lamia,38.8972,22.4311,52006
Komotini,41.1167,25.4000,50990
Kozani,40.3007,21.7890,41066
Nea Filadelfeia,38.0350,23.7381,25734
Pefki,38.0667,23.8000,21415
Mytilini,39.1114,26.5621,29328
Tripoli,37.5083,22.3750,30866
Kerkyra,39.6239,19.9214,24838
Lykovrysi,38.0667,23.7833,9738
Zefyri,38.0667,23.7167,9454
Ermoupoli,37.4504,24.9333,12260
Kalamata,37.0389,22.1142,71823
Trikala,39.5500,21.7667,61653
Chalkida,38.4625,23.5950,59125
Serres,41.0833,23.5500,58287
Alexandroupoli,40.8500,25.8667,57812
Xanthi,41.1333,24.8833,56122
Katerini,40.2667,22.5000,55997
Kavala,40.9396,24.4069,54027
Agrinio,38.6167,21.4000,46899
Drama,41.1514,24.1392,44823
Veroia,40.5203,22.2019,43158
Karditsa,39.3647,21.9219,38554
Rethymno,35.3667,24.4667,32468
Korinthos,37.9333,22.9333,30176
Giannitsa,40.7962,22.4145,29789
Chios,38.3725,26.1375,26850
Elefsina,38.0414,23.5453,24910
Salamina,37.9333,23.5000,25370
Pyrgos,37.6667,21.4333,24359
Megara,38.0000,23.3333,23456
Kilkis,40.9954,22.8765,22914
Livadeia,38.4333,22.8667,21379
Kos,36.8442,27.1572,19244
Preveza,38.9500,20.7500,19042
Orestiada,41.5000,26.5333,18426
Edessa,40.8000,22.0500,18229
Sparti,37.0819,22.4236,16187
Thermi,40.5472,23.0197,16004
Alexandreia,40.6283,22.4454,14821
Paiania,37.9500,23.8500,14595
Nafplio,37.5667,22.8000,14203
Nafpaktos,38.3917,21.8275,13415
Kastoria,40.5181,21.2688,13387
Kalymnos,36.9512,26.9832,12324
Anatoli,39.6386,20.8661,9798
Agios Nikolaos,35.1892,25.7173,11421
Kiato,38.0117,22.7467,9812
Tyrnavos,39.7353,22.2869,11069
Diavata,40.6883,22.8583,9890
Nea Moudania,40.2386,23.2814,9342
Porto Rafti,37.8844,24.0125,9686
Nea Artaki,38.5167,23.6333,9489
Argostoli,38.1739,20.4883,9748
Sindos,40.6667,22.8000,9289
Farsala,39.2833,22.3833,9298
Spata,37.9667,23.9167,9198
Nea Peramos,38.0000,23.4167,8333
Siteia,35.2000,26.1000,9348
Didymoteicho,41.3500,26.5000,9263
Epanomi,40.4261,22.9281,8979
Chrysoupoli,40.9833,24.7000,8885
Mournies,35.4850,24.0130,7553
Kalampaka,39.7044,21.6269,8330
Giannouli,39.6672,22.3958,7847
Anoixi,38.1333,23.8667,6510
Lagkadas,40.7500,23.0667,7764
Almyros,39.1800,22.7600,7955
Koufalia,40.7792,22.5767,7850
Argos Orestiko,40.4525,21.2581,7473
Nea Kallikrateia,40.3139,23.0633,7238
Elassona,39.8947,22.1886,7338
Chalastra,40.6267,22.7322,7270
Lavrio,37.7000,24.0500,7078
Karpenisi,38.9203,21.7833,7183
Marathonas,38.1550,23.9636,7170
Polykastro,40.9954,22.5714,7064
Kato Achaia,38.1500,21.5500,6618
Aigina,37.7467,23.4275,6867
Litochoro,40.1028,22.5069,6995
Amfissa,38.5253,22.3753,6919
Neo Karlovasi,37.7917,26.7051,6708
Aridaia,40.9750,22.0583,6561
Neoi Epivates,40.5010,22.9090,5984
Souda,35.4833,24.0667,6358
Kounoupidiana,35.5360,24.0760,6334
Anavyssos,37.7333,23.9500,6202
Agria,39.3400,23.0133,5191
Messini,37.0500,22.0000,6065
Myrina,39.8797,25.0742,5711
Polygyros,40.3783,23.4453,6121
Megalopoli,37.4000,22.1333,5748
Filiatra,37.1572,21.5858,5969
Nerokouros,35.4758,24.0383,5531
Dionysos,38.1000,23.8667,5651
Psachna,38.5828,23.6328,5827
Xylokastro,38.0667,22.6333,5500
Filyro,40.6911,23.0042,5495
Kremasti,36.4105,28.1191,5363
Siatista,40.2564,21.5522,5490
Feres,40.8933,26.1739,5457
Tympaki,35.0719,24.7683,5285
Vrontados,38.4167,26.1333,5323
Archangelos,36.2167,28.1167,5384
Skydra,40.7667,22.1500,5406
Kyparissia,37.2333,21.6667,5131
Nea Anchialos,39.2667,22.8167,5132
Orchomenos,38.4933,22.9749,5238
Gargalianoi,37.0667,21.6333,5007
