City,Latitude,Longitude,Population
Sisimiut,66.9389,-53.6722,5539
Ilulissat,69.2167,-51.1000,4670
Qaqortoq,60.7167,-46.0333,3093
Aasiaat,68.7097,-52.8694,3134
Nuuk,64.1750,-51.7333,18326
Tasiilaq,65.6150,-37.6410,2018
Qasigiannguit,68.8201,-51.1932,1803
Uummannaq,70.6747,-52.1264,1497
Paamiut,61.9956,-49.6636,1429
Upernavik,72.7839,-56.1506,1218
Kullorsuaq,74.5781,-57.2250,450
Godhavn,69.2472,-53.5333,847
Qaanaaq,77.4670,-69.2330,678
Scoresbysund,70.4853,-21.9667,539
Tasiusaq,73.3690,-56.0598,250
Kulusuk,65.5666,-37.1833,286
Kangersuatsiaq,72.3796,-55.5491,200
Kraulshavn,74.1210,-57.0674,204
Narsarsuaq,61.1666,-45.4166,145
Savissivik,76.0195,-65.1125,66
Nord,81.7166,-17.8000,10
Timmiarmiut,62.5333,-42.2167,10
