City,Latitude,Longitude,Population
Guatemala City,14.6099,-90.5252,2450212
Quetzaltenango,14.8333,-91.5167,225000
Escuintla,14.3050,-90.7850,172708
San Luis,16.2000,-89.4400,132470
Jalapa,14.6379,-89.9904,122483
Puerto Barrios,15.7300,-88.6000,121562
Totonicapan,14.9108,-91.3606,96392
Chimaltenango,14.6620,-90.8200,82370
Mazatenango,14.5304,-91.5100,64652
Coban,15.4700,-90.3800,65194
Huehuetenango,15.3147,-91.4761,58000
Salama,15.1052,-90.3160,56359
Jutiapa,14.2900,-89.9000,50681
Antigua Guatemala,14.5567,-90.7337,45669
Solola,14.7730,-91.1830,45373
Chiquimula,14.7970,-89.5440,41521
Retalhuleu,14.5333,-91.6833,40000
Flores,16.9337,-89.8833,38035
Zacapa,14.9720,-89.5290,36088
Santa Cruz del Quiche,15.0500,-91.2500,35000
San Marcos,14.9660,-91.8000,25088
Guastatoya,14.8539,-90.0686,20050
Cuilapa,14.2790,-90.2980,16484
Livingston,15.8300,-88.7500,76310
Esquipulas,14.6167,-89.2000,65000
San Cristobal Verapaz,15.3650,-90.4792,54704
Ciudad Tecun Uman,14.6833,-92.1333,33426
Puerto San Jose,13.9333,-90.8167,23887
Ciudad Melchor de Mencos,17.0667,-89.1500,20273
Salcaja,14.8833,-91.4500,17535
Panajachel,14.7361,-91.1558,11142
San Pedro La Laguna,14.6918,-91.2730,10150
La Libertad,16.7804,-90.1200,8646
