City,Latitude,Longitude,Population
Conakry,9.5092,-13.7122,1667864
Gueckedou,8.5667,-10.1333,221715
N'Zerekore,7.7600,-8.8300,168121
Kindia,10.0600,-12.8700,117062
Boke,10.9400,-14.3000,116270
Kankan,10.3900,-9.3100,114009
Labe,11.3167,-12.2833,107695
Mamou,10.3736,-12.0847,71153
Faranah,10.0404,-10.7500,19469
Forecariah,9.4300,-13.0980,12358
Kissidougou,9.1905,-10.1200,66815
Siguiri,11.4171,-9.1666,50159
Macenta,8.5504,-9.4800,43102
Dabola,10.7500,-11.1167,38617
Kamsar,10.6500,-14.6167,34973
Telimele,10.9050,-13.0430,30311
Tougue,11.4400,-11.6700,25531
Fria,10.3804,-13.5500,23729
Pita,11.0800,-12.4010,20052
Kerouane,9.2704,-9.0200,15406
Koundara,12.4800,-13.2960,13990
Kouroussa,10.6530,-9.8920,14223
Beyla,8.6870,-8.6570,13204
Gaoual,11.7540,-13.2130,7461
Dalaba,10.6560,-12.2720,6349
Dinguiraye,11.2990,-10.7260,6062
Mali,12.0840,-12.3010,5479
Yomou,7.5660,-9.2533,3614
Boffa,10.1850,-14.0430,2332
