City,Latitude,Longitude,Population
Port-au-Prince,18.5425,-72.3386,987310
Carrefour,18.5333,-72.4000,511345
Petion-Ville,18.5098,-72.2856,359615
Gonaives,19.4500,-72.6833,324043
Delmas,18.5500,-72.3000,284079
Cap-Haitien,19.7500,-72.2000,190289
Les Cayes,18.2004,-73.7500,175457
Saint-Marc,19.1167,-72.7000,160181
Port-de-Paix,19.9318,-72.8295,34657
Jacmel,18.2350,-72.5370,33563
Jeremie,18.6339,-74.1184,30917
Hinche,19.1430,-72.0040,18590
Fort Liberte,19.6656,-71.8448,11465
Miragoane,18.4411,-73.0883,
Belladere,18.8500,-71.7833,60239
