City,Latitude,Longitude,Population
Comayaguela,14.0833,-87.2167,1250000
Tegucigalpa,14.0942,-87.2067,1126534
San Pedro Sula,15.5000,-88.0333,1073824
Puerto Cortes,15.8833,-87.9500,200000
Tegucigalpita,15.7800,-86.7878,196856
Villanueva,15.3167,-88.0167,157615
La Ceiba,15.7631,-86.7970,145926
Comayagua,14.4600,-87.6500,144785
El Progreso,15.4000,-87.8000,143360
Ciudad Choluteca,13.3167,-87.2167,120000
Yoro,15.1333,-87.1333,64425
Santa Rosa de Copan,14.7667,-88.7833,56000
Gracias,14.5833,-88.5833,50256
La Paz,14.3169,-87.6831,41250
Juticalpa,14.6664,-86.2186,33260
Trujillo,15.9167,-86.0000,30000
Santa Barbara,14.9167,-88.2333,29283
La Esperanza,14.3000,-88.1833,21000
Nacaome,13.5333,-87.4833,13931
Yuscaran,13.9433,-86.8667,11396
Roatan,16.3300,-86.5190,7514
Nueva Ocotepeque,14.4333,-89.1833,8780
Puerto Lempira,15.2653,-83.7744,4856
Tela,15.7833,-87.4667,78537
La Lima,15.4330,-87.9170,53492
Tocoa,15.6833,-86.0000,46900
Catacamas,14.8000,-85.9000,44198
San Lorenzo,13.3667,-87.2667,43042
Siguatepeque,14.6167,-87.8333,39070
Olanchito,15.4833,-86.5833,22500
Cofradia,15.4168,-88.1603,18100
Yorito,15.0600,-87.2900,15774
La Entrada,15.0500,-88.7333,13949
Talanga,14.4000,-87.0833,13533
Brus Laguna,15.7500,-84.4833,4067
