City,Latitude,Longitude,Population
Budapest,47.4983,19.0408,1752286
Debrecen,47.5300,21.6392,201432
Szeged,46.2500,20.1667,160766
Miskolc,48.1000,20.7833,154521
Pecs,46.0708,18.2331,142873
Gyor,47.6842,17.6344,132034
Nyiregyhaza,47.9500,21.7167,116799
Kecskemet,46.9074,19.6917,110687
Szekesfehervar,47.2000,18.4167,96940
Szombathely,47.2333,16.6333,78407
Szolnok,47.1747,20.1764,71285
Tatabanya,47.5862,18.3949,65845
Sopron,47.6833,16.5833,62454
Kaposvar,46.3667,17.7833,61441
Veszprem,47.1000,17.9167,59738
Bekescsaba,46.6833,21.0833,58996
Zalaegerszeg,46.8392,16.8511,57403
Eger,47.8989,20.3747,52898
Nagykanizsa,46.4558,16.9975,46866
Dunaujvaros,46.9833,18.9167,44200
Hodmezovasarhely,46.4303,20.3189,43311
Salgotarjan,48.0853,19.7867,33579
Szekszard,46.3558,18.7039,31795
Erd,47.3833,18.9167,66892
Dunakeszi,47.6297,19.1381,43490
Szigetszentmiklos,47.3453,19.0483,38591
Cegled,47.1772,19.7981,35523
Baja,46.1833,18.9536,34788
Mosonmagyarovar,47.8667,17.2667,33318
Vac,47.7753,19.1311,32828
Ozd,48.2192,20.2869,32564
Godollo,47.6000,19.3667,32131
Papa,47.3306,17.4658,30382
Hajduboszormeny,47.6667,21.5167,30437
Budaors,47.4606,18.9578,28844
Gyongyos,47.7833,19.9333,29337
Gyula,46.6500,21.2828,29308
Kiskunfelegyhaza,46.7050,19.8500,29306
Esztergom,47.7856,18.7403,28144
Ajka,47.1006,17.5522,27995
Oroshaza,46.5678,20.6428,27492
Jaszbereny,47.5000,19.9167,27439
Szentes,46.6519,20.2572,27080
Kiskunhalas,46.4319,19.4883,27017
Kazincbarcika,48.2531,20.6456,26337
Siofok,46.9000,18.0500,25461
Gyal,47.3822,19.2136,23628
Hajduszoboszlo,47.4500,21.3833,23873
Nagykoros,47.0331,19.7839,23605
Tata,47.6500,18.3167,23377
Komlo,46.1911,18.2611,22635
Dunaharaszti,47.3553,19.0844,21901
Mako,46.2200,20.4789,22514
Vecses,47.4108,19.2722,20935
Hatvan,47.6681,19.6697,20167
Fot,47.6092,19.1928,19674
Torokszentmiklos,47.1833,20.4167,19890
Karcag,47.3167,20.9333,19732
Varpalota,47.1972,18.1394,19484
Keszthely,46.7675,17.2463,19387
Szigethalom,47.3228,19.0128,17596
Veresegyhaz,47.6569,19.2847,18654
Komarom,47.7400,18.1217,18805
God,47.6906,19.1344,18218
Gyomro,47.4353,19.3986,18301
Paks,46.6219,18.8558,18788
Szazhalombatta,47.3167,18.9114,18241
Bekes,46.7769,21.1250,18322
Monor,47.3475,19.4489,18084
Oroszlany,47.4892,18.3164,18171
Dombovar,46.3769,18.1310,17995
Pomaz,47.6472,19.0269,17139
Mohacs,45.9958,18.6797,17089
