City,Latitude,Longitude,Population
Delhi,28.6600,77.2300,29617000
Mumbai,18.9667,72.8333,23355000
Kolkata,22.5411,88.3378,17560000
Bangalore,12.9699,77.5980,13707000
Chennai,13.0825,80.2750,11324000
Hyderabad,17.3667,78.4667,9746000
Pune,18.5196,73.8553,7764000
Ahmadabad,23.0300,72.5800,7410000
Surat,21.1700,72.8300,5807000
Lucknow,26.8470,80.9470,3382000
Jaipur,26.9167,75.8667,3073350
Cawnpore,26.4725,80.3311,2701324
Mirzapur,25.1500,82.5800,2496970
Nagpur,21.1539,79.0831,2405665
Ghaziabad,28.6667,77.4167,2381452
Indore,22.7206,75.8472,2201927
Vadodara,22.3000,73.2000,2065771
Vishakhapatnam,17.7333,83.3167,2035922
Bhopal,23.2500,77.4167,1883381
Chinchvad,18.6278,73.8131,1729320
Patna,25.6100,85.1414,1684222
Ludhiana,30.9083,75.8486,1649000
Agra,27.1800,78.0200,1585705
Kalyan,19.2502,73.1602,1576614
Madurai,9.9197,78.1194,1561129
Jamshedpur,22.8000,86.1833,1558000
Nasik,20.0000,73.7833,1486053
Faridabad,28.4333,77.3167,1394000
Aurangabad,19.8800,75.3200,1371330
Rajkot,22.2969,70.7984,1335397
Meerut,28.9900,77.7000,1305429
Jabalpur,23.1667,79.9333,1267564
Thane,19.1800,72.9633,1261517
Dhanbad,23.7928,86.4350,1246000
Allahabad,25.4550,81.8400,1201000
Varanasi,25.3189,83.0128,1198491
Srinagar,34.0911,74.8061,1180570
Amritsar,31.6167,74.8500,1132383
Aligarh,27.8800,78.0800,1131160
Bhiwandi,19.3000,73.0667,1125898
Gwalior,26.2150,78.1931,1101981
Bhilai,21.2167,81.4333,1097000
Haora,22.5900,88.3100,1077075
Ranchi,23.3556,85.3347,1073440
Bezwada,16.5167,80.6167,1048240
Chandigarh,30.7353,76.7911,1026459
Mysore,12.3086,76.6531,1014227
Raipur,21.2379,81.6337,1010087
Kota,25.1800,75.8300,1001694
New Delhi,28.7000,77.2000,142004
Bareilly,28.3640,79.4150,1000000
Jodhpur,26.2918,73.0168,995000
Dispur,26.1500,91.7700,957352
Coimbatore,11.0000,76.9667,959823
Guwahati,26.1667,91.7667,957352
Solapur,17.6833,75.9167,951558
Trichinopoly,10.8269,78.6928,916857
