City,Latitude,Longitude,Population
Jakarta,-6.2146,106.8451,34540000
Surabaya,-7.2458,112.7378,4975000
Bandung,-6.9500,107.5667,2394873
Bekasi,-6.2333,107.0000,2381053
Tangerang,-6.1783,106.6319,2237006
Medan,3.6667,98.6667,2210625
Makassar,-5.1331,119.4136,1651146
Depok,-6.3940,106.8225,1631951
Semarang,-6.9667,110.4167,1621384
Palembang,-2.9833,104.7644,1452456
Cilacap,-7.7167,109.0170,1174964
Bandar Lampung,-5.4294,105.2625,1166761
Bogor,-6.6000,106.8000,1030720
Patam,1.0678,104.0167,1029808
Padang,-0.9556,100.3606,914970
Pekanbaru,0.5333,101.4500,855221
Denpasar,-8.6667,115.2167,834881
Malang,-7.9800,112.6200,780000
Samarinda,-0.5022,117.1536,753370
Banjarmasin,-3.3333,114.5833,692793
Tasikmalaya,-7.3333,108.2000,678027
Pontianak,-0.0206,109.3414,618388
Serang,-6.1200,106.1503,613356
Jambi,-1.5900,103.6100,602187
Cimahi,-6.8833,107.5333,586580
Balikpapan,-1.1489,116.9031,598043
Surakarta,-7.5667,110.8167,552118
Manado,1.4931,124.8413,461636
Kupang,-10.1633,123.5778,433970
Yogyakarta,-7.8014,110.3644,422732
Mataram,-8.5833,116.1167,408900
Jayapura,-2.5333,140.7167,413283
Cilegon,-6.0027,106.0112,387543
Ambon,-3.7050,128.1700,372249
Bengkulu,-3.7956,102.2592,360495
Palu,-0.8950,119.8594,359350
Kendari,-3.9675,122.5947,331013
Sukabumi,-6.9197,106.9272,320970
Cirebon,-6.7167,108.5667,316126
Pekalongan,-6.8883,109.6753,298386
Jember,-8.1727,113.6873,298585
Tegal,-6.8667,109.1333,275789
Pematangsiantar,2.9600,99.0600,278055
Sorong,-0.8667,131.2500,272349
Majene,-3.5336,118.9660,272377
Binjai,3.6000,98.4853,269053
Dumai,1.6667,101.4500,264084
Kediri,-7.8166,112.0119,252000
Palangkaraya,-2.2100,113.9200,249434
Banda Aceh,5.5500,95.3175,235305
Singaraja,-8.1152,115.0944,234468
Singkawang,0.9000,108.9833,230376
Probolinggo,-7.7500,113.2167,223159
Padangsidempuan,1.3667,99.2667,225544
Bitung,1.4472,125.1978,218520
Banjarbaru,-3.4667,114.7500,216600
Lubuklinggau,-3.2967,102.8617,208225
Ternate,0.7833,127.3667,204215
Tanjungpinang,0.9188,104.4554,203008
Tarakan,3.3000,117.6333,201635
Martapura,-3.4135,114.8365,198239
Gorontalo,0.5411,123.0594,191897
Madiun,-7.6300,111.5231,186099
Pasuruan,-7.6406,112.9065,186262
Batu,-7.8672,112.5239,190184
Prabumulih,-3.4328,104.2356,188082
Banjar,-7.3667,108.5333,182819
Pinrang,-3.7857,119.6522,182731
Lhokseumawe,5.1800,97.1506,180200
Palopo,-3.0000,120.2000,180130
Langsa,4.4667,97.9500,178334
Tebingtinggi,3.3283,99.1625,169786
Banyuwangi,-8.1950,114.3696,172424
Tanjungbalai,2.9667,99.8000,165763
Metro,-5.1167,105.3000,161799
Bontang,0.1333,117.5000,161413
Baubau,-5.4667,122.6330,152143
Mojokerto,-7.4722,112.4336,130196
Gunungsitoli,1.1167,97.5667,137104
Bima,-8.4667,118.7170,136492
Pageralam,-4.0217,103.2522,136244
Blitar,-8.1000,112.1500,132018
Parepare,-4.0167,119.6236,129542
Payakumbuh,-0.2244,100.6325,125608
Pangkalpinang,-2.1000,106.1000,125933
Magelang,-7.4706,110.2178,124912
Indramayu,-6.3356,108.3190,123263
Pati,-6.7415,111.0347,122785
Kotamobagu,0.7333,124.3167,120597
Bukittinggi,-0.3097,100.3753,113326
Raba,-8.4614,118.7470,106101
Maumere,-8.6189,122.2123,104285
Biak,-1.1615,136.0485,103610
Sungai Penuh,-2.0636,101.3961,101325
Sibolga,1.7425,98.7792,94971
Manokwari,-0.8711,134.0693,74504
Padangpanjang,-0.4500,100.4167,52422
Sofifi,0.7373,127.5588,
Mamuju,-2.6806,118.8861,
Tanjung Selor,2.8375,117.3653,
Tomohon,1.3244,124.8225,96411
Sampit,-2.5329,112.9500,92710
Pariaman,-0.6261,100.1206,85485
Sumenep,-7.0049,113.8496,84656
Tual,-5.6385,132.7450,82955
Watampone,-4.5328,120.3334,81629
Subulussalam,2.6422,98.0042,78801
Ende,-8.8333,121.6500,77205
Tuban,-6.8995,112.0500,76242
Solok,-0.7883,100.6542,68602
Lahat,-3.8000,103.5333,65906
Tanjungpandan,-2.7500,107.6500,62374
Sawahlunto,-0.6828,100.7783,61427
Soasio,0.6964,127.4360,60611
Ruteng,-8.6118,120.4698,53976
Waingapu,-9.6582,120.2530,48828
Luwuk,-0.9396,122.7900,47778
Amahai,-3.3281,128.9405,47653
Poso,-1.3896,120.7600,47110
Pemangkat,1.1727,108.9808,44783
Nabire,-3.3515,135.5134,43898
Rantepao,-2.9690,119.9000,43123
Sabang,5.8931,95.3200,38077
Praya,-8.7223,116.2923,35183
Kuala Kapuas,-3.0996,114.3500,35632
Merauke,-8.4932,140.4018,34412
Kulat,-8.7151,115.1841,30012
Tinipuka,-4.5496,136.8900,26021
Makale,-3.0860,119.8469,9960
Tarutung,2.0171,98.9667,1305
Buton,4.2170,108.2000,140
