City,Latitude,Longitude,Population
Tehran,35.7000,51.4167,13633000
Mashhad,36.3069,59.6042,3001184
Esfahan,32.6447,51.6675,1756126
Karaj,35.8327,50.9915,1592492
Tabriz,38.0833,46.2833,1558693
Shiraz,29.6100,52.5425,1460665
Qom,34.6461,50.8789,1201158
Ahvaz,31.3203,48.6692,1184788
Kermanshah,34.3167,47.0686,851405
Orumiyeh,37.5500,45.1000,736224
Rasht,37.2833,49.6000,639951
Kerman,30.2833,57.0667,573449
Zahedan,29.4833,60.8667,560725
Eslamshahr,35.5333,51.2000,548620
Hamadan,34.8065,48.5162,528256
Yazd,31.8972,54.3678,486152
Arak,34.0800,49.7000,484212
Ardabil,38.2500,48.3000,482632
Bandar `Abbas,27.2000,56.2500,435751
Zanjan,36.6667,48.4833,433475
Kashan,33.9833,51.4333,432557
Qazvin,36.2688,50.0041,381598
Sanandaj,35.3097,46.9989,373987
Khorramabad,33.4667,48.3500,348216
Sari,36.5658,53.0597,347402
Shahr-e Qods,35.7214,51.1089,309605
Gorgan,36.8300,54.4800,312223
Shahriar,35.6597,51.0592,309607
Malard,35.6658,50.9767,281027
Sarta,36.5504,53.1000,271467
Dezful,32.3878,48.4033,264709
Babol,36.5500,52.6833,250217
Bukan,36.5208,46.2117,248900
Sabzevar,36.2167,57.6667,243700
Amol,36.4669,52.3569,237528
Pakdasht,35.4817,51.6803,236319
Najafabad,32.6342,51.3667,235281
Borujerd,33.8972,48.7514,234997
Madan,30.3392,48.3042,231476
Qarchak,35.4394,51.5689,231075
Varamin,35.2714,51.6511,225628
Neyshabur,36.2200,58.8200,221700
Saveh,35.0211,50.3564,220762
Khomeyni Shahr,32.7000,51.5211,218737
Nasim Shahr,35.5644,51.1647,200393
Qa'em Shahr,36.4611,52.8606,204953
Bojnurd,37.4667,57.3333,199791
Bandar-e Bushehr,28.9667,50.8333,195222
Fardis,35.7247,50.9883,181174
Khowy,38.5503,44.9519,182000
Birjand,32.8667,59.2000,178020
Maragheh,37.3833,46.2667,175255
Sirjan,29.4700,55.7300,175000
Shahin Shahr,32.8639,51.5475,173329
Malayer,34.2942,48.8200,170237
Saqqez,36.2497,46.2733,165258
Bandar-e Mahshahr,30.5589,49.1981,162797
Mahabad,36.7704,45.7200,162434
Rafsanjan,30.4000,56.0000,161909
Shahr-e Kord,32.3256,50.8644,159775
Semnan,35.5833,53.3833,153680
Golmeh,33.6304,46.4300,152894
Gonbad-e Kavus,37.2500,55.1672,151910
Shahrud,36.4167,55.0167,150129
Marvdasht,29.8742,52.8025,148858
Quchan,37.1118,58.5015,145531
Kamalshahr,35.8622,50.8717,141166
Jahrom,28.5000,53.5600,141634
Torbat-e Heydariyeh,35.2739,59.2194,140019
Piranshahr,36.6944,45.1417,138864
Marivan,35.5269,46.1761,136654
Andimeshk,32.4500,48.3500,135116
Shahreza,32.0089,51.8667,134592
Zabol,31.0308,61.4972,134590
Khorramshahr,30.4333,48.1833,133097
Marand,38.4167,45.7667,130825
Jiroft,28.6781,57.7406,130429
Bam,29.1083,58.3583,127396
Behbahan,30.5958,50.2417,122604
Dorud,33.4933,49.0750,121608
Mohammad Shahr,35.7631,50.9172,119418
Nazarabad,35.9522,50.6075,119512
Iranshahr,27.2025,60.6847,113750
Fasa,28.9381,53.6481,110825
Borazjan,29.2667,51.2158,110567
Baneh,35.9975,45.8853,110218
Yasuj,30.6667,51.5833,108505
Chabahar,25.2836,60.6236,106739
Robat Karim,35.4847,51.0828,105393
Khak-e `Ali,36.1283,50.1764,104417
Kashmar,35.2383,58.4656,102282
Shushtar,32.0436,48.8569,101878
Ahar,38.4750,47.0603,100641
Masjed Soleyman,31.9333,49.3000,100497
Torbat-e Jam,35.2439,60.6225,100449
Ilam,33.6374,46.4227,
Kazerun,29.6167,51.6500,96683
Shirvan,37.3967,57.9294,82790
Salmas,38.2000,44.7667,79560
Aligudarz,33.4006,49.6947,78690
Bonab,37.3403,46.0561,75332
Takestan,36.0694,49.6958,73625
Oshnaviyeh,37.0397,45.0983,70030
Bandar-e Genaveh,29.5833,50.5167,64110
Zarand,30.8128,56.5639,63744
Mobarakeh,32.3464,51.5044,62454
Damghan,36.1681,54.3481,57331
Taybad,34.7400,60.7756,56562
Zarrin Shahr,32.3894,51.3764,55984
Aran Bidgol,34.0578,51.4842,55651
Hashtpar,37.7992,48.9053,54178
Bijar,35.8741,47.5937,53871
Sardasht,36.1553,45.4789,50000
Ramhormoz,31.2783,49.6064,49822
Golpayegan,33.4536,50.2883,47849
Azna,33.4539,49.4550,47489
Darcheh,32.6153,51.5556,43183
Natanz,33.5000,51.9000,44000
Takab,36.4008,47.1131,43702
Sarab,37.9408,47.5367,42057
Baft,29.2331,56.6022,41105
Khalkhal,37.6189,48.5258,38521
Falavarjan,32.5553,51.5097,37740
Sarpol-e Zahab,34.4614,45.8647,34632
Shahin Dezh,36.6792,46.5667,34204
Qahderijan,32.5767,51.4550,30002
Hadishahr,38.8478,45.6622,27842
Fuman,37.2239,49.3125,27763
Semirom,31.4142,51.5694,26260
Kelishad va Sudarjan,32.5542,51.5250,23203
Sheyban,31.4086,48.7942,23211
Goldasht,32.6267,51.4392,22693
Khvansar,33.2206,50.3150,20490
Gaz,32.8022,51.6208,20432
Khowrzuq,32.7781,51.6458,20301
Abrisham,32.5550,51.5731,19406
Mahmudabad Nemuneh,36.2886,49.9019,19669
Kabudarahang,35.2083,48.7239,19216
Taft,31.7475,54.2042,18464
Dizicheh,32.3833,51.5147,17966
Sedeh Lanjan,32.3778,51.3181,17335
Dehaqan,31.9400,51.6478,16899
Chamgardan,32.3933,51.3408,16086
Shahr-e Jadid-e Hashtgerd,35.9825,50.7353,15619
Tiran,32.7025,51.1536,15673
Dastgerd,32.8019,51.6636,15524
Amlash,37.0975,50.1864,15047
Ardestan,33.3797,52.3725,14698
Famenin,35.1139,48.9717,14019
Khomam,37.4000,49.6667,12901
Fereydunshahr,32.9411,50.1211,13475
Kushk,32.6425,51.4997,11264
Charmahin,32.3375,51.1958,12292
Rezvanshahr,37.5511,49.1394,12355
Ahram,28.8825,51.2744,12182
Varzaneh,32.4194,52.6481,11506
Pir Bakran,32.4686,51.5578,10851
Poldasht,39.3481,45.0711,11472
Qasr-e Shirin,34.5156,45.5792,11202
Sa'in Qal`eh,36.2994,49.0744,11083
Miandasht,33.0736,50.1647,9933
Talkhvoncheh,32.2628,51.5622,9307
Banaruyeh,28.0839,54.0483,9318
Banak,27.8708,52.0272,8753
Azandarian,34.5089,48.6867,8685
Zazeran,32.6025,51.4969,7670
Kahriz Sang,32.6267,51.4808,8267
Tazeh Shahr,38.1756,44.6919,8216
Firuraq,38.5800,44.8358,7903
Dehaq,33.1044,50.9589,7828
Zavareh,33.4486,52.4933,7806
Khoshk Bijar,37.3747,49.7575,7478
Komijan,34.7192,49.3267,7358
Chadegan,32.7683,50.6286,7037
Guged,33.4756,50.3525,6686
Bazargan,39.3914,44.3875,6686
Beyram,27.4306,53.5144,6520
Jowzdan,32.5567,51.3725,6393
Bahman,31.1942,52.4839,6484
Khur,33.7750,55.0831,6216
Nasrabad,32.2794,52.0631,5751
`Alavicheh,33.0528,51.0825,5692
Meymeh,33.4461,51.1681,5733
Manzariyeh,31.9458,51.8719,5617
Narjeh,35.9908,49.6247,5604
Hanna,31.1989,51.7247,5358
Bandar-e Rig,29.4856,50.6281,5257
Abuzeydabad,33.9042,51.7686,5160
