City,Latitude,Longitude,Population
Baghdad,33.3500,44.4167,5796000
Mosul,36.3667,43.1167,1694000
Al Basrah,30.4889,47.8100,1225793
Kirkuk,35.4667,44.4000,975000
Erbil,36.1911,44.0094,852500
An Najaf,32.0290,44.3396,724700
Karbala',32.6167,44.0333,690100
As Sulaymaniyah,35.5500,45.4333,656100
An Nasiriyah,31.0539,46.2503,541600
Al Hillah,32.4833,44.4333,541034
Ba`qubah,33.7447,44.6436,467900
Ar Ramadi,33.4167,43.3000,456853
Ad Diwaniyah,31.9892,44.9247,391600
Az Zubayr,30.3892,47.7081,370000
Al `Amarah,31.8416,47.1512,345007
Dahuk,36.8500,42.9833,330600
Al Fallujah,33.3500,43.7833,326471
Al Kut,32.4907,45.8304,321521
As Samawah,31.3167,45.2833,215000
Al Kufah,32.0300,44.4000,166100
Ash Shatrah,31.4175,46.1772,161949
Samarra',34.1959,43.8857,140400
Zakhu,37.1436,42.6819,134863
Umm Qasr,30.0342,47.9294,107620
Tikrit,34.6000,43.6833,105700
Al Faw,29.9800,48.4700,105080
Nahiyat al Karmah,33.3997,43.9089,95000
Sinjar,36.3208,41.8764,88023
Al Hayy,32.1742,46.0433,82900
Tall `Afar,36.3792,42.4497,80000
Balad,34.0147,44.1456,80000
Al Musayyib,32.7786,44.2900,76454
Az Zubaydiyah,32.7588,45.1773,70000
Halabjah,35.1833,45.9833,65200
Mandali,33.7436,45.5464,29785
Shaqlawah,36.3964,44.3436,25000
Ar Rutbah,33.0333,40.2833,22370
Kuysinjaq,36.0828,44.6286,19878
Rawah,34.4792,41.9083,19629
Hammam al `Alil,36.1581,43.2594,15985
Al `Amadiyah,37.0922,43.4878,11000
