City,Latitude,Longitude,Population
Rome,41.8931,12.4828,2872800
Milan,45.4669,9.1900,1351562
Naples,40.8333,14.2500,972212
Turin,45.0667,7.7000,870952
Palermo,38.1157,13.3613,674435
Genoa,44.4072,8.9340,580097
Bologna,44.4939,11.3428,388367
Florence,43.7714,11.2542,382258
Bari,41.1253,16.8667,325183
Catania,37.5027,15.0873,311584
Cagliari,39.2224,9.1040,291511
Venice,45.4397,12.3319,261905
Verona,45.4386,10.9928,252520
Messina,38.1833,15.5500,236962
Padova,45.4064,11.8778,211560
Trieste,45.6361,13.8042,204338
Brescia,45.5389,10.2203,197008
Taranto,40.4181,17.2408,198283
Parma,44.8015,10.3280,194417
Prato,43.8808,11.0966,191749
Modena,44.6458,10.9257,184727
Reggio di Calabria,38.1144,15.6500,182703
Reggio Emilia,44.7000,10.6333,170996
Perugia,43.1121,12.3888,165683
Livorno,43.5500,10.3167,159020
Ravenna,44.4178,12.1994,159162
Foggia,41.4584,15.5519,151975
Rimini,44.0594,12.5683,149403
Salerno,40.6806,14.7597,135066
Ferrara,44.8353,11.6199,132009
Latina,41.4676,12.9037,126181
Monza,45.5836,9.2736,122728
Giugliano in Campania,40.9319,14.1956,124361
Pescara,42.4643,14.2142,120286
Bergamo,45.6950,9.6700,119806
Siracusa,37.0692,15.2875,121171
Forli,44.2225,12.0408,117859
Trento,46.0667,11.1167,117185
Sassari,40.7267,8.5592,116641
Vicenza,45.5500,11.5500,112408
Terni,42.5667,12.6500,111189
Barletta,41.3200,16.2700,107830
Bolzano,46.5000,11.3500,107317
Novara,45.4500,8.6167,104284
Piacenza,45.0500,9.7000,103082
Ancona,43.6167,13.5167,100721
Andria,41.2317,16.3083,100365
Catanzaro,38.9100,16.5875,90240
Como,45.8103,9.0861,84378
Busto Arsizio,45.6120,8.8518,83314
Castellammare di Stabia,40.7000,14.4833,66164
L'Aquila,42.3504,13.3900,68503
Potenza,40.6333,15.8000,67211
Campobasso,41.5630,14.6560,50762
Aosta,45.7370,7.3150,34062
Udine,46.0667,13.2333,99341
Lecce,40.3520,18.1691,94892
Arezzo,43.4617,11.8750,91589
Pisa,43.7167,10.4000,89745
Eraclea,45.6381,12.6583,90000
Brindisi,40.6383,17.9458,87141
Treviso,45.6722,12.2422,83950
Varese,45.8167,8.8333,80629
Marsala,37.8054,12.4387,77784
Caserta,41.0667,14.3333,75561
Asti,44.9000,8.2069,76173
Ragusa,36.9300,14.7300,68956
Benevento,41.1256,14.7811,61791
Civitavecchia,42.1004,11.8000,61316
Savona,44.3080,8.4810,61057
Molfetta,41.2000,16.6000,59470
Crotone,39.0833,17.1233,60010
Agrigento,37.3111,13.5765,59329
Siena,43.3183,11.3314,53772
Biella,45.5664,8.0533,44616
Olbia,40.9143,9.5151,45366
Macerata,43.3003,13.4533,42209
Gorizia,45.9352,13.6193,34411
Vibo Valentia,38.6666,16.1000,33957
Ventimiglia,43.7903,7.6083,24065
Pozzallo,36.7303,14.8467,19466
Narni,42.5167,12.5167,19543
San Vito dei Normanni,40.6556,17.7036,19095
Urbino,43.7252,12.6372,14558
Priverno,41.4667,13.1833,14365
Muggia,45.6000,13.7667,13111
Loreto,43.4403,13.6074,12810
Amelia,42.5535,12.4168,11828
Avigliano,40.7333,15.7167,11350
Strongoli,39.2667,17.0667,6518
San Dorligo della Valle,45.6225,13.8578,5754
Montecastrilli,42.6500,12.4833,5037
