City,Latitude,Longitude,Population
Kingston,17.9714,-76.7931,580000
Portmore,17.9667,-76.8667,170000
May Pen,17.9500,-77.2500,135142
Spanish Town,17.9961,-76.9547,131056
Montego Bay,18.4667,-77.9167,110115
Half Way Tree,18.0106,-76.7975,96494
Mandeville,18.0417,-77.5072,48317
Savanna-la-Mar,18.2167,-78.1333,30000
Port Antonio,18.1667,-76.4500,14400
Saint Ann's Bay,18.4350,-77.2017,13671
Port Maria,18.3703,-76.8903,7906
Falmouth,18.4936,-77.6558,7779
Lucea,18.4509,-78.1736,6002
Black River,18.0264,-77.8487,4261
Morant Bay,17.8814,-76.4092,
Old Harbour,17.9414,-77.1090,28665
Linstead,18.1500,-77.0167,22757
Port Morant,17.8910,-76.3290,11536
