City,Latitude,Longitude,Population
Tokyo,35.6897,139.6922,37977000
Osaka,34.6936,135.5019,14977000
Nagoya,35.1167,136.9333,9113000
Yokohama,35.4333,139.6333,3748781
Fukuoka,33.5903,130.4019,2128000
Sapporo,43.0621,141.3544,1958756
Kyoto,35.0111,135.7669,1805000
Kobe,34.6913,135.1830,1522944
Kawanakajima,35.5300,139.7050,1437266
Saitama,35.8617,139.6453,1307931
Hiroshima,34.3853,132.4553,1306589
Sendai,38.2683,140.8694,1058070
Kitaku,33.8704,130.8200,997536
Chiba,35.6000,140.1000,980203
Niigata,37.9161,139.0364,796500
Hamamatsu,34.7167,137.7333,791770
Kumamoto,32.8031,130.7078,739393
Sagamihara,35.5667,139.3667,722828
Okayama,34.6500,133.9167,720865
Shizuoka,34.9756,138.3825,691185
Honcho,35.6947,139.9825,639107
Kawaguchi,35.8078,139.7242,592373
Kagoshima,31.5800,130.5281,595319
Hachioji,35.6667,139.3167,577560
Utsunomiya,36.5500,139.8833,519255
Matsuyama,33.8333,132.7667,509139
Ichikawa,35.7219,139.9311,495592
Higashi-osaka,34.6794,135.6008,494640
Matsudo,35.7878,139.9031,492671
Nishinomiya-hama,34.7333,135.3333,487413
Oita,33.2333,131.6067,477701
Kanazawa,36.5667,136.6500,463873
Fukuyama,34.4858,133.3625,462203
Machida,35.5486,139.4467,434407
Kashiwa,35.8544,139.9689,429070
Toyota,35.0833,137.1567,426477
Takamatsu,34.3500,134.0500,418772
Toyama,36.7000,137.2200,415816
Nagasaki,32.7833,129.8667,411421
Gifu,35.4167,136.7667,401534
Miyazaki,31.9167,131.4167,398307
Minamisuita,34.7667,135.5167,381829
Okazaki,34.9500,137.1667,387294
Ichinomiya,35.3039,136.8031,379689
Toyohashi,34.7667,137.3833,373234
Nagano,36.6486,138.1928,370057
Wakayama,34.2333,135.1667,355825
Nara,34.6833,135.7833,353989
Koshigaya,35.8911,139.7908,345458
Tokorozawa,35.7994,139.4689,341409
Otsu,35.0167,135.8500,342175
Kawagoe,35.9177,139.4911,337931
Tamuramachi-moriyama,37.4100,140.3800,340560
Iwaki,37.0333,140.8833,340231
Asahikawa,43.7706,142.3650,334692
Maebashi,36.3833,139.0667,332999
Kochi,33.5667,133.5333,328930
Naha,26.2122,127.6789,317606
Yokkaichi,34.9667,136.6167,310145
Kasugai,35.2500,136.9667,306876
Akita,39.7197,140.1025,306178
Oakashicho,34.6431,134.9975,299094
Morioka,39.6833,141.1500,292554
Fukushima,37.7608,140.4733,286742
Aomori,40.8222,140.7475,276567
Tsu,34.7186,136.5056,275371
Fuchu,35.6689,139.4778,263932
Ichihara,35.4981,140.1156,270478
Mito,36.3667,140.4667,269661
Yao,34.6269,135.6008,266386
Kakogawacho-honmachi,34.7569,134.8414,262308
Fukui,36.0641,136.2196,262530
Hiratsuka,35.3231,139.3422,257729
Soka,35.8256,139.8056,250939
Shinozaki,33.9500,130.9333,257038
Hakodate,41.7733,140.7261,256222
Tokushima,34.0667,134.5500,255167
Chofugaoka,35.6506,139.5408,239650
Yamagata,38.2500,140.3333,249327
Chigasaki,35.3339,139.4047,241887
Yato,35.4693,139.4616,237445
Fuji,35.1614,138.6764,245078
Tsukuba-kenkyugakuen-toshi,36.0333,140.0667,240987
