City,Latitude,Longitude,Population
Vientiane,17.9667,102.6000,760000
Savannakhet,16.5500,104.7500,124000
Pakxe,15.1167,105.7833,119848
Thakhek,17.4000,104.8000,70000
Louangphabang,19.8931,102.1381,53792
Xam Nua,20.4133,104.0480,38992
Attapu,14.8000,106.8333,19200
Ban Houayxay,20.2833,100.4167,17687
Xaignabouli,19.2576,101.7103,16200
Phongsali,21.6836,102.1053,15083
Salavan,15.7167,106.4167,5521
Louang Namtha,20.9500,101.4167,3225
Phon-Hong,18.4953,102.4153,
Phonsavan,19.4500,103.2000,
Pakxan,18.3831,103.6669,
Xai,20.6922,101.9847,
Xekong,15.3503,106.7286,
Anouvong,18.8989,103.0919,
Champasak,14.8833,105.8667,13400
Xiangkhoang,19.3337,103.3666,5189
