City,Latitude,Longitude,Population
Riga,56.9475,24.1069,698529
Daugavpils,55.8714,26.5161,84592
Liepaja,56.5083,21.0111,69443
Jelgava,56.6522,23.7244,55972
Jurmala,56.9680,23.7704,48606
Ventspils,57.3897,21.5644,35362
Rezekne,56.5067,27.3308,28174
Valmiera,57.5381,25.4231,25093
Ogre,56.8169,24.6047,23533
Jekabpils,56.4975,25.8664,22412
Tukums,56.9669,23.1531,17075
Salaspils,56.8614,24.3500,16616
Cesis,57.3131,25.2747,15293
Sigulda,57.1539,24.8544,11821
Kuldiga,56.9672,21.9700,11768
Olaine,56.7844,23.9369,11132
Saldus,56.6667,22.4936,10311
Bauska,56.4067,24.1875,9348
Dobele,56.6258,23.2811,9272
Talsi,57.2447,22.5889,9264
Ludza,56.5439,27.7211,8071
Kraslava,55.8956,27.1644,7978
Aizkraukle,56.6008,25.2550,7745
Gulbene,57.1750,26.7564,7507
Livani,56.3539,26.1761,7343
Limbazi,57.5147,24.7131,7221
Madona,56.8542,26.2200,7206
Aluksne,57.4239,27.0503,6930
Ikskile,56.8367,24.4964,6597
Preili,56.2942,26.7247,6522
Balvi,57.1292,27.2667,6334
Lielvarde,56.7175,24.8106,5973
Smiltene,57.4242,25.9064,5306
Valka,57.7753,26.0214,4573
Aizpute,56.7211,21.6017,4237
Baldone,56.7425,24.3908,3996
Kandava,57.0364,22.7761,3651
Grobina,56.5358,21.1656,3631
Plavinas,56.6161,25.7217,3151
Vilani,56.5528,26.9253,2938
Saulkrasti,57.2636,24.4164,2813
Rujiena,57.8969,25.3261,2887
Koknese,56.6500,25.4333,2818
Broceni,56.6833,22.5664,2779
Salacgriva,57.7494,24.3586,2729
Ilukste,55.9781,26.2967,2365
Auce,56.4611,22.8942,2343
Priekule,56.4472,21.5933,2167
Kegums,56.7444,24.7214,2159
Dagda,56.0947,27.5369,2122
Karsava,56.7867,27.6739,2003
Skrunda,56.6756,22.0164,1970
Jaunjelgava,56.6175,25.0814,1890
Varaklani,56.6078,26.7550,1853
Lubana,56.9017,26.7228,1596
Viesite,56.3453,25.5569,1580
Zilupe,56.3856,28.1225,1469
Cesvaine,56.9683,26.3067,1410
Vilaka,57.1842,27.6722,1309
Mazsalaca,57.8667,25.0500,1133
Aloja,57.7669,24.8828,1120
Strenci,57.6272,25.6850,1107
Akniste,56.1622,25.7411,1036
Pavilosta,56.8878,21.1842,1035
Ligatne,57.2336,25.0397,1015
Ape,57.5392,26.6928,876
Ulbroka,56.9363,24.3039,
Marupe,56.9032,24.0467,
Carnikava,57.1293,24.2842,
Kekava,56.8296,24.2318,
Incukalns,57.0987,24.6863,
Adazi,57.0705,24.3371,
Ozolnieki,56.6899,23.7761,
Garkalne,57.0449,24.4195,
Pinki,56.9419,23.9137,
Skriveri,56.6485,25.1195,
Iecava,56.5977,24.2076,
Priekuli,57.3115,25.3571,
Roja,57.5015,22.8088,
Ropazi,56.9747,24.6329,
Smarde,56.9533,23.3387,
Pilsrundale,56.4181,24.0162,
Mersrags,57.3364,23.1235,
Tervete,56.4798,23.3902,
Malpils,57.0101,24.9578,
Ragana,57.1821,24.7056,
Sala,56.5047,25.7618,
Koceni,57.5198,25.3404,
Jaunpils,56.7314,23.0125,
Rauna,57.3337,25.6085,
Burtnieki,57.6949,25.2750,
Murmuiza,57.4731,25.4917,
Aglona,56.1327,27.0068,
Nica,56.3456,21.0646,
Vecumnieki,56.6061,24.5223,
Loja,57.1534,24.6433,
Liegi,56.5797,21.3338,
Jaunpiebalga,57.1775,26.0284,
Riebini,56.3403,26.7999,
Vainode,56.4185,21.8541,
Stalbe,57.3708,25.0324,
Ergli,56.8988,25.6429,
Vecpiebalga,57.0618,25.8179,
Drabesi,57.2433,25.2803,
Alsunga,56.9801,21.5640,
Vecvarkava,56.1984,26.5081,
Naukseni,57.8842,25.4580,
Baltinava,56.9439,27.6440,
Dundaga,57.5050,22.3504,
Nereta,56.2044,25.3077,
Cibla,56.5498,27.8837,
Rugaji,57.0033,27.1337,
Rucava,56.1640,21.1627,
Balozi,56.8750,24.1194,6240
