City,Latitude,Longitude,Population
Monrovia,6.3106,-10.8047,1021762
Gbarnga,7.0104,-9.4900,45835
Kakata,6.5300,-10.3517,33945
Harper,4.3754,-7.7170,32661
Voinjama,8.4167,-9.7500,26594
Zwedru,6.0704,-8.1300,25678
Robertsport,6.7533,-11.3686,11969
Sanniquellie,7.3710,-8.6850,11415
Greenville,5.0111,-9.0388,10374
Bensonville,6.4456,-10.6097,4089
Barclayville,4.8000,-8.1667,2733
Cestos City,5.4697,-9.5817,2578
Buchanan,5.8833,-10.0500,
Tubmanburg,6.8706,-10.8211,
Fish Town,5.1974,-7.8758,
Bopolu,7.0667,-10.4875,
Upper Buchanan,5.9161,-10.0525,48315
