City,Latitude,Longitude,Population
Tripoli,32.8752,13.1875,1126000
Benghazi,32.1167,20.0667,631555
Misratah,32.3778,15.0901,259056
Al Bayda',32.7628,21.7550,250000
Az Zawiyah,32.7604,12.7200,200000
Gharyan,32.1669,13.0167,187854
Al Marj,32.5005,20.8300,169540
Ajdabiya,30.7700,20.2200,143833
Tobruk,32.0833,23.9500,135832
Darnah,32.7648,22.6391,127974
Sabha,27.0333,14.4333,116016
Sabratah,32.7922,12.4842,102038
Zuwarah,32.9333,12.0833,80310
Surt,31.2000,16.6000,76788
Nalut,31.8804,10.9700,66609
Murzuq,25.9136,13.9336,47324
Ghat,24.9500,10.3167,22000
Hun,29.1167,15.9333,18878
Al `Aziziyah,32.5308,13.0211,4000
Awbari,26.5833,12.7667,
Idri,27.4471,13.0517,
Al Kufrah,24.1667,23.2696,
Yafran,32.0628,12.5267,72662
Bani Walid,31.7455,13.9835,50824
Tajura',32.8819,13.3400,48836
Birak,27.5333,14.2834,45421
Shahhat,32.8281,21.8622,45000
Mizdah,31.4337,12.9833,26107
Al Jawf,24.2167,23.3000,24132
Al Burayqah,30.4061,19.5739,13000
Ghadamis,30.1333,9.5000,6623
Awjilah,29.1081,21.2869,6610
Qaminis,31.6572,20.0144,5348
Al `Uqaylah,30.2558,19.1994,100
As Sidrah,30.6294,18.3503,50
Maradah,29.2337,19.2166,2500
Al Jaghbub,29.7504,24.5166,1744
Tajarhi,24.3704,14.4708,1500
Daraj,30.1500,10.4500,931
Tmassah,26.3666,15.8000,500
Umm al `Abid,27.5170,15.0333,300
Zillah,28.5504,17.5834,10
