City,Latitude,Longitude,Population
Vilnius,54.6833,25.2833,574147
Kaunas,54.9000,23.9333,288466
Klaipeda,55.7075,21.1428,164310
Siauliai,55.9281,23.3167,107086
Panevezys,55.7250,24.3639,91054
Alytus,54.4014,24.0492,51534
Marijampole,54.5567,23.3544,36602
Mazeikiai,56.3111,22.3361,34152
Jonava,55.0722,24.2806,27804
Utena,55.5000,25.6028,26491
Kedainiai,55.2833,23.9667,24177
Telsiai,55.9833,22.2500,22039
Taurage,55.2514,22.2903,22002
Ukmerge,55.2667,24.7500,21226
Visaginas,55.6000,26.4333,18514
Plunge,55.9167,21.8500,18042
Kretinga,55.8758,21.2508,17787
Silute,55.3500,21.4833,15902
Palanga,55.9167,21.0639,15381
Radviliskis,55.8000,23.5500,15275
Rokiskis,55.9616,25.5807,12738
Druskininkai,54.0206,23.9725,12576
Elektrenai,54.7886,24.6612,11156
Birzai,56.2000,24.7500,10561
Jurbarkas,55.0825,22.7714,10376
Vilkaviskis,54.6667,23.0333,9855
Anyksciai,55.5344,25.1072,9190
Joniskis,56.2433,23.6179,8757
Prienai,54.6333,23.9417,8610
Varena,54.2111,24.5722,8477
Kelme,55.6333,22.9333,8206
Pasvalys,56.0611,24.4028,6768
Salcininkai,54.3111,25.3806,6664
Zarasai,55.7306,26.2472,6458
Kupiskis,55.8333,24.9667,6321
Kazlu Ruda,54.7492,23.4865,6018
Sirvintos,55.0361,24.9694,5744
Skuodas,56.2667,21.5333,5610
Moletai,55.2333,25.4167,5587
Sakiai,54.9556,23.0444,5383
Silale,55.4917,22.1778,5114
Pakruojis,55.9809,23.8551,4640
Svencionys,55.1333,26.1556,4458
Trakai,54.6333,24.9333,4430
Kalvarija,54.4147,23.2281,4100
Lazdijai,54.2319,23.5170,3985
Rietavas,55.7250,21.9278,3308
Birstonas,54.6056,24.0292,2422
Akmene,56.3167,22.9000,2429
Nida,55.3040,21.0053,2385
Kaisiadorys,54.8653,24.4682,
Raseiniai,55.3797,23.1239,
Pagegiai,55.1379,21.9138,
Ignalina,55.3406,26.1605,
Gargzdai,55.7000,21.4000,13877
Kursenai,55.9979,22.9415,11175
Grigiskes,54.6694,25.0944,10580
Garliava,54.8202,23.8726,10324
Lentvaris,54.6436,25.0517,10286
Naujoji Akmene,56.3250,22.8833,7725
Pabrade,54.9806,25.7667,5528
Svencioneliai,55.1667,26.0000,5160
