City,Latitude,Longitude,Population
Blantyre,-15.7861,35.0058,1895973
Lilongwe,-13.9833,33.7833,781538
Mzuzu,-11.4500,34.0333,150100
Zomba,-15.3833,35.3333,101140
Salima,-13.7829,34.4333,71181
Nkhotakota,-12.9163,34.3000,59854
Mangochi,-14.4781,35.2645,51429
Karonga,-9.9329,33.9333,34207
Nkhata Bay,-11.6333,34.3000,22108
Mzimba,-11.9000,33.6000,19308
Mulanje,-16.0316,35.5000,20870
Nsanje,-16.9167,35.2667,21774
Mchinji,-13.8167,32.9000,18305
Dedza,-14.3667,34.3333,15608
Chitipa,-9.7019,33.2700,13412
Mwanza,-15.6167,34.5167,11379
Ntcheu,-14.8167,34.6333,10445
Thyolo,-16.0667,35.1333,7029
Rumphi,-11.0153,33.7722,
Balaka,-14.9889,34.9591,
Chiradzulu,-15.7167,35.2000,1580
Phalombe,-15.8000,35.6500,
Machinga,-14.9667,35.5167,1418
Chikwawa,-16.0350,34.8010,
Kasungu,-13.0364,33.4822,
Dowa,-13.6532,33.9385,
Neno,-15.3981,34.6534,
Ntchisi,-13.3753,34.0036,
Chiromo,-16.5500,35.1332,25235
