City,Latitude,Longitude,Population
Kuala Lumpur,3.1478,101.6953,8285000
Klang,3.0333,101.4500,878000
Ipoh,4.6000,101.0700,866772
Butterworth,5.3942,100.3664,821652
George Town,5.4145,100.3292,708127
Petaling Jaya,3.1073,101.6067,638516
Kuantan,3.8167,103.3333,607778
Shah Alam,3.0833,101.5333,584340
Johor Bahru,1.4556,103.7611,497097
Kota Bharu,6.1333,102.2500,491237
Melaka,2.1889,102.2511,455300
Kota Kinabalu,5.9750,116.0725,452058
Seremban,2.7297,101.9381,419536
Sandakan,5.8388,118.1173,396290
Sungai Petani,5.6500,100.4800,358499
Kuching,1.5397,110.3542,325132
Kuala Terengganu,5.3303,103.1408,255109
Sibu,2.3000,111.8167,247995
Taiping,4.8500,100.7333,237095
Miri,4.4028,113.9933,234541
Alor Setar,6.1167,100.3667,217000
Bukit Mertajam,5.3617,100.4610,210000
Lahad Datu,5.0300,118.3400,199830
Muar,2.0500,102.5600,191346
Kluang,2.0383,103.3179,169828
Bintulu,3.1700,113.0300,151617
Batu Pahat,1.8500,102.9300,140000
Tawau,4.2981,117.8831,113809
Teluk Intan,4.0333,101.0167,101659
Cukai,4.2332,103.4479,82425
Putrajaya,2.9140,101.7019,67964
Kangar,6.4414,100.1986,48898
Labuan,5.2803,115.2475,
Raub,3.7931,101.8569,40024
Kuala Lipis,4.1840,102.0420,15448
