City,Latitude,Longitude,Population
Male,4.1750,73.5083,133019
Un'goofaaru,5.6681,73.0302,
Naifaru,5.4442,73.3662,
Mahibadhoo,3.7571,72.9689,
Eydhafushi,5.1038,73.0699,
Thinadhoo,0.5303,72.9967,
Funadhoo,6.1509,73.2901,
Kulhudhuffushi,6.6223,73.0702,
Dhihdhoo,6.8874,73.1140,
Kudahuvadhoo,2.6717,72.8936,
Rasdhoo,4.2631,72.9919,
Thulusdhoo,4.3742,73.6517,
Viligili,0.7539,73.4353,
Hithadhoo,-0.6000,73.0833,
Veymandoo,2.1878,73.0950,
Felidhoo,3.4718,73.5470,
Nilandhoo,3.0567,72.8900,
Foammulah,-0.3000,73.4256,
Muli,2.9217,73.5811,
Fonadhoo,1.8342,73.5031,
Manadhoo,5.7669,73.4136,
