City,Latitude,Longitude,Population
Bamako,12.6458,-7.9922,2009109
Sikasso,11.3167,-5.6667,213977
Segou,13.4500,-6.2667,133501
Gao,16.2666,-0.0500,116967
Mopti,14.4900,-4.1800,108456
Koutiala,12.3904,-5.4700,104927
Kayes,14.4500,-11.4167,77207
Timbuktu,16.7733,-2.9994,35330
Koulikoro,12.8833,-7.5500,23919
Kidal,18.4411,1.4078,
Kati,12.7504,-8.0800,66895
Markala,13.6704,-6.0700,53738
Kita,13.0504,-9.4833,46435
San,13.3004,-4.9000,41386
Bougouni,11.4204,-7.4900,35450
Djenne,13.9000,-4.5500,32944
Banamba,13.5504,-7.4500,30591
Bourem Guindou,16.9004,-0.3500,30000
Bafoulabe,13.8064,-10.8322,26823
Nara,15.1800,-7.2800,18459
Kangaba,11.9333,-8.4167,17232
Nioro,15.2304,-9.5900,14421
Menaka,15.9167,2.4000,9110
Goundam,16.4170,-3.6666,8456
Tessalit,20.2014,1.0888,6000
Yelimane,15.1337,-10.5666,988
Aguelhok,19.4549,0.8564,9000
Sokolo,14.7337,-6.1333,4374
Araouane,18.9000,-3.5300,4026
Taoudenni,22.6666,-3.9834,3019
Satadougou,12.6170,-11.4066,706
